Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
Banco de Galicia y Buenos Aires S.A.,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Latin America and the Caribbean,Argentina,BANCO DE GALICIA Y BUENOS AIRES S.A.U,"Global Industry, Financial Markets",1998-11-20T05:00:00Z,"",FI,Loan,"Summary Of Project Information (SPI)Project NameArgentina: Galicia CLRegionLatin America and the CaribbeanSectorProject No009381Projected Board DateDecember 20, 1998Company NameBanco de Galicia y Buenos Aires S.A.Technical Partner and/or Major Shareholders	Banco de Galicia (""Galicia"") is one of the largest privately-owned banks in Argentina in terms of assets, liabilities and branch network size.  At June 30, 1998  Galicia had total assets of US$13 billion, total deposits over US$7 billion, and equity of US$1.1 billion.  During the 1998 fiscal year,  Galicia recorded a net income of US$114 million.  Galicias principal shareholders are the Escasany, Ayerza and Braun families who together own 51.8% of the bank and have management control.  About 31% of the shares are listed as ADRs on the New York stock exchange.Project Cost Including proposed IFC investment	Up to US$100 million, of which up to US$50 million would be for IFC''s own account.Location of project and Description of site	Argentina.Description of Company and Purpose of Project	The project consists of a syndicated credit line of up to US$100 million (IFC A Loan of up to US$50 million and IFC B Loan of up to US$50 million) for onlending to middle-market companies.Environmental Category and Issues	This is a Financial Intermediary (FI) Tier 2 project according to IFCs environmental review procedure.  Galicia will be required to undertake an environmental review of each subproject and use best efforts to ensure that subprojects comply with Argentine environmental, health and safety legislation, IFC environmental and social safeguard policies, and, if applicable, World Bank Group environmental, health and safety guidelines.   IFC will assess Galicias capability to carry out environmental reviews.  Galicia must obtain IFC clearance prior to making any investment with IFC funds in any Category A project.Date SPI sent to InfoShop November 20, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384","","","","","","","","","","","","","",50.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan50.0Equity0.0* These investment figures are indicative,"","","","","","",9381,"",AA - Commercial Banking - General,"","","",""
Kunda Nordic Cement II,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Estonia,KUNDA NORDIC TSEMENT AS,Regional Industry - MAS ECA,1998-11-24T05:00:00Z,"",B,Loan,"Summary Of Project Information (SPI)Project NameEstonia-Kunda Cement IIRegionEuropeSectorProject No009282Projected Board DateDecember 28, 1998Company NameKunda Nordic CementTechnical Partner and/or Major Shareholders	Kunda Nordic Cement  is 49.9% owned by the Government of Estonia through Kunda Tehased, a 100% Government owned company; 30.2% by Atlas Nordic Cement Ltd. (ANL), a joint venture between SCANCEM (Sweden/Norway/Finland) and Holderbank (Switzerland); and 19.9% by institutions ( IFC (10.6%), Nefco (5.3%), and Finnfund (4.0%)).Project Cost Including proposed IFC investment	Total project cost is up to US$40.5 million, including an IFC senior loan of up to US$8 million and an IFC equity investment of up to US$2 million.Location of project and Description of site	The company and the project are located in the town of Kunda, Estonia, near the Kunda port and near major highways.Description of Company and Purpose of Project	The current project includes: (i) the second stage privatization of the remaining 49% ownership of KNC held by Kunda Tehased (an Estonian Government-owned company); (ii) major renovation of the cement mill to facilitate continued operations at improved efficiency levels; (iii) the construction of a 6 MW co-generation plant; and (iv) the expansion of the existing Kunda port. Environmental Category and Issues	This is a category B project according to IFC''s environmental review procedure.  Environmental, occupational health and safety issues associated with this project include: air emissions from the renovated cement mill, potential changes of coastal currents as a result of the port expansion, and site selection and air emissions from the new co-generation plant.  IFC will monitor ongoing compliance with World Bank environmental, health and safety policies and guidelines during the lifetime of the project by evaluating reports submitted annually to IFC by Kunda Nordic and by conducting periodic supervision.  Based on its review of available information regarding potential environmental impacts and proposed mitigation measures, IFC concludes that Kunda Nordics proposed expansion project will meet World Bank environmental, health and safety policies and guidelines, and host country requirements.The  is  from the InfoShop.Host country location of environmental documentsKunda, EstoniaDate SPI sent to InfoShop November 24, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",5.86 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan4.80Equity1.07* These investment figures are indicative,"","","","","","",9282,"",AA - Cement,"","","",""
As Eesti Uhispank Mortgage Loan Credit Line,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Estonia,Aktsiaselts Eesti Uhispank.,Regional Industry - FIG - ECA,1998-11-25T05:00:00Z,"",FI,Loan,"Summary Of Project Information (SPI)Project NameEstonia-Eesti Uhispank (EUP)RegionEastern EuropeSectorProject No009276Projected Board DateDecember 29, 1998Company NameEesti UhispankTechnical Partner and/or Major Shareholders	The strategic partner in this project would be Skandinaviska Enskilda Banken (SEB), one of the largest banks in Scandinavia. It is one of the most dynamic Nordic institutions in both banking and asset management, and has recently started expanding its operations in the Baltic countries. SEB will aquire 32% of EUP''s shares through the purchase of existing shares and a new share issue. Project Cost Including proposed IFC investment	DM32,375,000Location of project and Description of site	Estonia is the most advanced of the three Baltic countries and has recently started negotiations for its accession into the European Union. The country has a currency board system whereby the Estonian kroon is pegged to the German mark. The GDP growth is predicted to moderate to approximately 4% at the end 1998 from a strong growth of 11% at the end of 1997. Economic reforms and western-oriented policies remain well entrenched in Estonia with strong political consensus on free market reforms and integration with Europe.Description of Company and Purpose of ProjectThe project involves the provision of a convertible loan of up to DM32,375,000 to Eesti Uhispank (EUP).  The proceeds of the loan would be used to provide residential mortgage loans to individual Estonian homebuyers.  This would be IFCs second loan to EUP. The first loan of DM10 million for onlending to small- and medium-sized enterprises, was approved by IFC''s board in November 1996 and is fully disbursed.	EUP, established in 1992, is the second largest bank in Estonia in terms of assets, loans and deposits.  The Bank is engaged in commercial and retail banking, mortgage and other lending, advisory and other financial services, treasury activities, and insurance.       Despite Estonias economic progress and relative political stability; sources of term funding are limited.  The demand for mortgage lending in Estonia is strong and growing and limited only by commercial banks capacity to lend.  Through this project, IFC would help provide affordable housing finance to individuals. Moreover, this project would contribute to the development of Estonias banking sector by strengthening a major Estonian banking institution. Environmental Category and Issues	This is a Financial Intermediary (FI) Tier 1 project according to IFC''s environmental review procedure.  EUP will be required to apply environmental review procedures to relevant operations and ensure that subprojects comply with the Estonian environmental, health and safety legislation and standards. IFC will assess EUP''s capability to carry out environmental reviews. Date SPI sent to InfoShop November 25, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384","","","","","","","","","","","","","",19.33 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan19.33Equity* These investment figures are indicative,"","","","","","",9276,"",AA - Commercial Banking - General,"","","",""
Ecobank Transnational Inc.,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Africa,Africa Region,ECOBANK TRANSNATIONAL INCORPORATED,"Global Industry, Financial Markets",1998-11-25T05:00:00Z,"",FI,Loan,"Summary Of Project Information (SPI)Project NameTogo-Ecobank Transnational Incorporated (ETI)RegionAfrica RegionalSectorProject No009319Projected Board DateDecember 30, 1998Company NameEcobank Transnational Incorporated (ETI)Technical Partner and/or Major Shareholders	Economic Community of West African States (ECOWAS) Fund (12%)	Saudi Prince Al Wahleeds Kingdom Holding Africa (18%)Private Shareholders (70%)Project Cost Including proposed IFC investment	Project Cost: US$ 29.75 millionIFC Investment: US$ 7.5 millionLocation of project and Description of site	Lomé, TogoDescription of Company and Purpose of Project	The project consists of an IFC investment totaling US$7.5 million in ETI through a subscription to a two tranche preferred share issue by ETI: (i) US$3.75 million in Class A ETI Preferred Stock convertible into ETI Ordinary Shares; and (ii) US$3.75 million in Class B ETI Preferred Stock redeemable within five years. This structure was jointly determined by IFC and ETI as the best way in which IFC could play a meaningful role in supporting the institutional development, expansion and diversification of West Africas only fully indigenous international banking group.  ETI has the most diversified country presence of any bank in West Africa, with six banks in as many countries, and spanning both English and French speaking countries.  By supporting ETIs expansion and helping it broaden its ownership structure, IFC would contribute significantly both to the broadening and deepening of the regions financial sector. Environmental Category and Issues	This is a Financial Intermediary (FI) Tier 1 project.  ETI must attend IFC''s environmental management training; implement an environmental management system; and submit an annual environmental performance report describing the performance of the environmental management system. Date SPI sent to InfoShop November 25, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384","","","","","","","","","","","","","",7.50 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan3.75Equity3.75* These investment figures are indicative,"","","","","","",9319,"",AA - Commercial Banking - General,"","","",""
Bulgarian American Credit Bank,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Bulgaria,BULGARIAN AMERICAN CREDIT BANK AD,"Global Industry, Financial Markets",1998-11-25T05:00:00Z,"",FI,Loan,"Summary Of Project Information (SPI)Project NameBulgarian American Credit Banc (BACB)RegionEuropeSectorProject No009359Projected Board DateDecember 28, 1998Company NameBulgaria American Credit BancTechnical Partner and/or Major Shareholders	BACB is wholly owned by Bulgarian American Enterprise Fund (BAEF).  BAEF is a not-for-profit Delaware Corporation, established in 1993 by the U.S. Government.  Its mission is to assist in the development of small and medium private enterprises in Bulgaria.  BAEF belongs to the group of Enterprise Funds targeting Eastern Europe which were formed in accordance with the principles of the U.S. Support for East European Democracy Act of 1989 (SEED Act).  BAEF is capitalized by a US$50 million grant from the US Treasury.Project Cost Including proposed IFC investment	US$5 millionLocation of project and Description of site	Sofia, BulgariaDescription of Company and Purpose of Project	In 1996, Bulgarian American Credit Bank (BACB) was created out of the loan operations of Bulgarian American Enterprise Fund (BAEF), a US$50 million US Treasury-sponsored fund that supports the development of small and medium sized enterprises (SMEs) in Bulgaria.  After initial difficulties, BAEF has established a decent track record of lending to this target sector.  Now, BAEF would like to help BACB ""graduate"" into a free-standing, commercially viable financial institution and has asked for IFC''s help in attracting a strategic investor and in providing term financing for on-lending to SMSE''s.  IFC is considering a US$5 million loan of up to 5 years, for on-lending to SMEs.  This loan would be convertible into equity, at IFC''s option, when a strategic partner is found.Through this project, IFC would strengthen BACB, ensure that a quality player operates in the Bulgarian banking system, and support the SME sector. Environmental Category and Issues	This is a Financial Intermediary (FI) Tier 2 project according to IFC''s environmental review procedure.  BACBank will be required to undertake an environmental review of each subproject to ensure compliance with host country requirements, IFC environmental and social safeguard policies, and , if applicable, World Bank Group environmental, health and safety guidelines. IFC will assess BACBanks capability to carry out environmental reviews.  BACBank must obtain IFC clearance prior to making any investment with IFC funds in any Category A project.Date SPI sent to InfoShop November 25, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384","","","","","","","","","","","","","",4.86 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan4.86Equity0.0* These investment figures are indicative,"","","","","","",9359,"",AA - Commercial Banking - General,"","","",""
"Banco Del Istmo, S.A.",Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Latin America and the Caribbean,Panama,Primer Banco del Istmo S.A.,"Global Industry, Financial Markets",1998-12-01T05:00:00Z,"",FI,Risk Management,"REVISED Summary Of Project Information (SPI)Project NamePanama - Banco del Istmo, S.A.RegionLatin American and the CaribbeanSectorProject No009211Projected Board DateDecember 31, 1998Company NameBanco del Istmo, S.A.Technical Partner and/or Major Shareholders	In 1996, the Bank went public and its shares now are listed on the Panamanian stock exchange. At the time of the IPO, majority ownership in Banistmo (approx. 73%) was held by a group of Panamanian families through privately-held financial holding company Grupo Financiero del Istmo (GFI). However, by the summer of 1998 a process was concluded whereby GFI shifted all its business to Banistmo and GFIs shareholders exchanged 100% of their GFI shares for Banistmo shares.  Effectively, GFI is dormant, as an operating concern and the entirety of its shares are null and void.  The remaining 23% of Banistmos shares are publicly held by a diversified group of more than 1,800 investors. Project Cost Including proposed IFC investment	Up to US$65 millionLocation of project and Description of site	Republic of PanamaDescription of Company and Purpose of Project	Banistmo had $1.4 billion in total assets (consolidated) and $870 million in gross loans at June 30, 1998.  The Bank maintains a network of 34 branches in 15 Panamanian cities and has 1,000 employees.  The Bank depends heavily on its deposit base to finance long term loans; the proposed IFC loan would strengthen the bank''s balance sheet by improving its maturity profile.  Syndication of part of the loan would give the Bank access to long term foreign funding sources.  Environmental Category and Issues	This is a Financial Intermediary (FI) Tier 1 project according to IFC''s environmental review procedure.  Banistmo will be required to apply environmental review procedures to relevant operations and to ensure that subprojects comply with Panamanian environmental, health and safety legislation and standards.  Date SPI sent to InfoShop RevisedDecember 1, 1998     December 2, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384","","","","","","","","","","","","","",21.0 million (USD)Product LineIFC Investment (million USD)Risk Management1.0GuaranteeLoan20.0Equity* These investment figures are indicative,"","","","","","",9211,"",AA - Commercial Banking - General,"","","",""
TbilComBank Joint Stock Commercial Bank of Tbilisi,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Georgia,TBILCOMBANK,Regional Industry - FIG - ECA,1998-12-02T05:00:00Z,"",FI,Loan,"Summary Of Project Information (SPI)Project NameGeorgia-TbilComBank RegionEuropeSectorProject No009322Projected Board DateJanuary 15, 1998Company NameTbilComBank Joint Stock Commercial Bank of TbilisiTechnical Partner and/or Major Shareholders	TbilComBank received a Georgian banking license in August 1992.  Its majority shareholders are both foreign legal entities, owned by Georgians and foreign citizens, and Georgian citizens.Project Cost Including proposed IFC investment	A five-year credit line of US$3 million to TbilComBank for onlending to private Georgian enterprises.Location of project and Description of site	Tbilisi, GeorgiaDescription of Company and Purpose of Project	The project involves providing a credit line to TbilComBank to support the development of its commercial lending business.  Proceeds of the credit line would be used for onlending to private Georgian enterprises for trade finance, working capital and project finance. TbilComBank would be responsible for identifying, appraising and supervising sub-projects under the proposed IFC credit line and would also bear the credit risk.  This would be the first non-government-guaranteed credit line to TbilComBank from an international financial institution.  IFCs credit line would be combined with a donor funded advisor to TbilComBank to provide assistance with: (i) marketing and client identification; (ii) loan analysis and monitoring; (iii) portfolio grading; and (iv) problem loan workout. Environmental Category and Issues	This is an environmental review category FI Tier 2 project according to IFC''s environmental review procedure.  TbilComBank will be required to undertake an environmental review of each sub-project to ensure compliance with host country requirements, IFC environmental and social safeguard policies, and, if applicable, World Bank Group environmental, health and safety guidelines.  Date SPI sent to InfoShop December 2, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384","","","","","","","","","","","","","",3.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan3.0Equity* These investment figures are indicative,"","","","","","",9322,"",AA - Commercial Banking - General,"","","",""
Horizon Pulp and Paper II,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Estonia,HORIZON TSELLULOOSI JA PABERI AS,Regional Industry - MAS ECA,1998-12-04T05:00:00Z,"",B,Loan,"Summary Of Project Information (SPI)Project NameESTONIA: Horizon Pulp and Paper 2RegionEuropeSectorProject No009193Projected Board DateJanuary 4, 1999Company NameHorizon Pulp & PaperTechnical Partner and/or Major Shareholders	The Tolaram Group (83% of the share capital)- a family owned global group headquartered in Singapore. The Group has been active in the Baltics since 1994 and became one of the most active investors in the region. Project Cost Including proposed IFC investment	The total project cost is estimated at US$27.7 million with IFC''s investment of up to US$10 million, including an IFC senior loan of up to US$5 million and a C loan of up to US$5 million.Location of project and Description of site	The project is located in Kehra, Estonia, 40 km east of Tallinn at the facilities of the old pulp and paper mill. Description of Company and Purpose of Project	The project includes the second phase of IFC investment in rehabilitation and modernization of Horizon Pulp and Paper, the only producer of an unbleached pulp and paper in Estonia. The initial IFC investment of US$6 million, approved in 1996 was used to fund rehabilitation of assets acquired by the Tolaram Group from a bankrupt Kehra paper mill through a privatization process and investments in a new tissue converting facility. The second phase of investment includes: 1) further improvements of the old kraft paper mill aimed at increasing capacity and efficiency, improving cost competitiveness and environmental standards and ensuring the continued and safe operation of the plant; and 2) strengthening of the existing tissue converting facility by installation of a synchro line for tissue production. IFC has taken a very active role in developing the project concept and the investment strategy of Horizon. IFC''s involvement will also help the Company to obtain better access to financing sources, by providing comfort for other banks and financial investors. The Project will have a strong positive developmental impact. It will promote the development of a higher value added, export oriented industry based on the local raw material, which makes a significant contribution towards sustainable development of Estonian economy. The Company utilizes the most significant natural resource of Estonia -timber. Because of the high capital intensity, future development of the Estonian paper and related industries is unlikely without injection of outside capital and transfer of know-how. The project will also contribute to the regional development of Estonia, where employment is heavily concentrated in the capital and the unemployment rate is high in small towns and in the countryside. The Company re-hired close to 500 former employees of bankrupt Kehra Paper mill and continues to be the main employer in the area. In addition to securing the existing employment, the new project will increase direct and indirect employment in Kehra by up to 100 employees. The project will also have a significant positive environmental impact by further improving environmental standards of the existing kraft mill and ensuring that it continues to meet World Bank policies and guidelines and national environmental standards.  Environmental Category and Issues	This is a category B project according to IFC''s environmental review procedure. Key environmental, occupational health and safety issues which were reviewed for this project include: forest management and harvesting practices and their sustainability, air, water and solid waste emissions and management, handling of hazardous materials, fire protection and emergency response and general worker health and safety. IFC''s Environmental Division visited Horizon and reviewed environmental information submitted by the Company. Estonia has developed a comprehensive framework for sustainable management and use of its forests resulting in a growing forest area and increasing wood production available for industrial use. The Company has made good progress in controlling air emissions. The planned upgrading of the recovery boiler and fiber line will further reduce the air emissions and ensure continuing compliance with the World Bank and Estonian environmental standards.  Wastewater is treated in an activated sludge treatment plant, producing effluent which is well within Bank Group guidelines. Solid wastes are landfilled in a municipal facility near the plant. Installation of the lime kiln will eliminate the current practice of landfilling of lime-sludge, and the bark boiler investment will allow burning of the bark to produce energy and reduce the load on the landfill considerably. Fire protection facilities in some parts of the old plant need significant improvement, and the Sponsor will undertake a review of fire protection needs and develop a plan for installation of needed equipment to meet the World Bank and national fire safety standards. Occupational health and safety conditions are generally good and appropriate training programs are in place. The  is  from the InfoShop.Date SPI sent to InfoShop December 3, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",9.20 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan9.20Equity* These investment figures are indicative,"","","","","","",9193,"",AD - Paper Tissue,"","","",""
SEI-Asset Korea,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,East Asia and the Pacific,"Korea, Republic of",SEI-Asset Korea Mutual Fund,Disruptive Technologies and Funds,1998-12-07T05:00:00Z,"",C,Equity,"REVISED Summary Of Project Information (SPI)Project NameKorea:  SEI-Asset KoreaMutual Fund Management Compay and Equity Mutual FundRegionAsiaSectorProject No009392Projected Board DateJanuary 8, 1999Company NameSEI-Asset KoreaTechnical Partner and/or Major Shareholders	The proposed project seeks to develop a mutual fund management company in Korea (SEI-Asset Korea or  SEI-AK) structured as a joint venture amongst SEI Investments, (possibly) Tong Yang Securities, IFC, and the management of Asset Korea Capital Management Co. (Asset Korea)Project Cost Including proposed IFC investment	US$6.0 MMLocation of project and Description of site	Seoul, Korea	Urban locationDescription of Company and Purpose of Project	SEI-Asset Korea, is expected to be one of the first joint-venture mutual fund management companies set up under the Korean Securities Investment Company Act, which became effective on Sept. 16, 1998 and is modeled on the U.S. Investment Company Act of 1940.  The new law intends to create an alternative to the existing Investment Trust Funds (ITMCs), which are perceived by industry experts and government officials to be in need of reform. The proposed project intends to build on the continued liberalization of the Korean financial sector to develop a mutual fund management company along the lines of best international practices.	Environmental Category and Issues	Based on the available information, this is a Category C project according to IFCs environmental review procedure.  No further environmental review is therefore required.Date SPI sent to InfoShopRevised December 7, 1998December 8, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384","","","","","","","","","","","","","",7.35 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoanEquity7.35* These investment figures are indicative,"","","","","","",9392,"",CA - Domestic Mutual Fund/Unit Trust,"","","",""
AEF IHS Technologies (Pty) Limited,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Africa,South Africa,CHEIRON HEALTH TECHNOLOGIES (PTY) LTD,Regional Industry - MAS Africa,1998-12-07T05:00:00Z,"",B,Loan,"SUMMARY OF PROJECT INFORMATION (SPI)Project Name:South Africa  IHS TechnologiesRegion:Sub-Saharan AfricaSector:Health CareProject No.:009402Projected Board Date:March 31, 1999Company Name:IHS Technologies (Pty) LtdTechnical Partner and/or Major Shareholders:The shareholders are Kwacha (Pty) Ltd, a black-owned investment company with 90 %; &nbsp;and Sanlam Development Fund with 10 %Project cost including proposed IFC investment:The project cost will be US$3.4 million and IFC is being asked to provide an income participating loan of US$1.3 million.Location of project and description of site:The project is located on floor 24 of the Kine Center, Commissioner Street, Johannesburg.Description of company and purpose of project:IHS is a new company set-up to own and run a managed health care insurance company. &nbsp;It is an offshoot of Sizwe Medical Aid, one of the oldest medical insurance funds in South Africa aimed mainly at the black employed population. &nbsp;The purpose of the project is to equip IHS with the IT facilities needed to run an efficient managed health care insurer. &nbsp;IHS will offer health care packages to Sizwes existing clients, to new clients and to groups of medical practitioners seeking an on-going business relationship with the growing HMO industry in South Africa.Project Development Impact:The project will support the countrys objectives of bringing the black majority further into the mainstream private sector activity, and improve the availability of managed health care for lower income groups. &nbsp;The project is expected to create up to 50 direct jobs at full rollout. &nbsp;Many of these positions will be for skilled IT people. &nbsp;Technical advice is coming from Kaiser Permanente of the USA and this will involve the transfer of a certain amount of technology.Environmental category and issues:This is a category B project according to IFCs environmental review procedure. Key environmental, health and safety issues include handling and disposal of medical materials; disposal of medical and bio-hazardous wastes; source of water and power including fuel storage if applicable; disposal of solid and liquid wastes including sewage; hygiene and implementation of good hospital management practices; CFC-free air conditioning and cold storage equipment; employee health and safety training; and fire protection and life safety. &nbsp;The sponsor has provided IFC with details on the operating procedures, hygiene and good management practices, fire safety program and other environmental mitigation measures it uses or intends to use to ensure that the project complies with all relevant IFC guidelines. &nbsp;IFC has reviewed this information as regards IHS Technologies as well as other enterprises in which IHSs parent company has a major shareholding. &nbsp;Details of these procedures and mitigation measures are provided in the Environmental Review Summary (ERS) for the project, which will be available from the InfoShop on or about December 4, 1998.Host country location of environmental documents:IFC office, Hyde Park, JohannesburgDate SPI sent to InfoShop:December 7, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors. &nbsp;It is provided for the purpose of enhancing the transparency of IFC''s activities and should not be construed as presuming the outcome of IFC Board consideration.For additional Information contact: &nbsp;Corporate Relations Unit Telephone:	(202) 473-7711Facsimile:	(202) 974-4384\\StreetTalk\Shared Data@CAFNET@IFC\CAF\AEF\SOU\IHS-SPI.docDecember 1, 1998 1:56 PMEnvironmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",1.29 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan0.64Equity0.64* These investment figures are indicative,"","","","","","",9402,"","BA - Computer Systems Design and Related Services (System Integration, Custom Computer Programming, IT Services etc.)","","","",""
