,Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
506,Bank South Pacific Mobile Banking,Advisory Services,,Completed,East Asia and the Pacific,Solomon Islands,,,2014-05-27T04:00:00Z,,,,"The project will support the expansion of BSP Rural's successful mobile banking model in Papua New Guinea to the Solomon Islands. This will include piloting the business model, establishing an agent network to support mobile banking transactions, supporting
 
 sales and e-channel expansion, and integrating financial literacy training in the customer acquisition process.",,,,,,"The goal of the project is to increase access to affordable, efficient and secure banking and payment services to the underbanked and unbanked, especially in the rural areas of the Solomon Islands.  Specifically, the project will assist Bank South Pacific to promote an inclusive financial system in the Solomon Islands by expanding the coverage of payment system and formal savings mechanism, as well as by reducing the risk and costs associated with cash-based financial transactions.",,,,,,,,,,,,,,,599984,,,Access To Finance,,2014-02-03T05:00:00Z,
507,Botosani District Heating,Advisory Services,,Completed,Europe and Central Asia,Romania,,,2014-05-28T04:00:00Z,,,,"The advisory project will support the district heating company in Botosani in identifying sustainable technical and non-technical ways of reducing the cost of heat supply in Botosani. IFC's advice will be provided in a manner consistent with the principles
 
 of the relevant Performance Standards.",,,,,,The project will support the municipal district heating company (Modern Calor) in Botosani (Romania) in identifying and implementing technical and non-technical measures to improve operational efficiency and lower the cost of heat supply.,,,,,,,,,,,,,,,600286,,,Sustainable Business Advisory,,2014-02-13T05:00:00Z,
508,Post Conflict Integration,Advisory Services,,Completed,South Asia,Sri Lanka,,,2014-06-03T04:00:00Z,,,,"This project is focusing on economic development in Sri Lanka, with focus on integration of post-conflict provinces in North and East with the rest of the country, and development in other underdeveloped regions.",,,,,,The goal of this project is to facilitate inclusive growth by integrating post-conflict districts in North and East Sri Lanka with the rest of the country and support development in other districts. IFC will contribute to this goal by working with a minimum of five clients to facilitate incremental revenue for clients; by reducing constraints in the agricultural value chain and in sectors dominated by MSMEs; by supporting tourism destination development and promoting investment generation,,,,,,,,,,,,,,,597447,,,Sustainable Business Advisory,,2014-02-28T05:00:00Z,
509,Puertas Finas Resource Efficiency,Advisory Services,,Completed,Latin America and the Caribbean,Mexico,,,2014-06-06T04:00:00Z,,,,The Project is to determine Puertas Finas' current operating and energy performance and to identify specific energy efficiency and clean energy solutions for implementation by the client.,,,,,,"The Project is expected to increase the efficiency of the operations of Puertas Finas, by reducing energy usage and costs in three of their wood processing plants through the implementation of resource efficiency and clean energy solutions, which will result in greenhouse gas emission reductions. The Project is expected to have a demonstration effect for other firms in Mexico interested in improving their use of energy resources, thereby contributing to reducing their overall carbon footprint.",,,,,,,,,,,,,,,600332,,,Sustainable Business Advisory,,2014-03-07T05:00:00Z,
510,Credit Reporting Morocco,Advisory Services,,Completed,Middle East and North Africa,Morocco,,,2014-06-06T04:00:00Z,,,,"The project will assist the Central Bank of Morocco (BAM) to better organize and strengthen the credit reporting sector. Specifically, IFC will support BAM in developing a conducive credit reporting legal and regulatory framework, a supervision framework
 
 which will allow BAM to oversee the growing credit reporting sector, and will also help in raising awareness on credit reporting among public and private stakeholders in the Kingdom of Morocco.",,,,,,"The objective of the project is to develop solid credit reporting legal and supervision frameworks in the Kingdom of Morocco. This will enable the Central Bank of Morocco (BAM) to better supervise the growing credit reporting sector and will lead to more comprehensive sharing of data between and various lending sectors, which will ultimately contribute to facilitating access to finance for the underserved, including MSMEs.",,,,,,,,,,,,,,,600436,,,Access To Finance,,2014-05-21T04:00:00Z,
511,Laureate Results Measurement,Advisory Services,,Completed,Latin America and the Caribbean,Mexico,,,2014-06-10T04:00:00Z,,,,"This project is structured into two separate components:

Component 1: Development and implementation of Results Measurement (RM) methodology

Subcomponent 1.1: Development of the survey and methodology
IFC will develop a framework jointly with Laureate
 
 to measure the impact of a quality private education. 

Subcomponent 1.2: Building the capacity of the client to undertake results measurement work
The project is expected to strengthen Laureate's RM capacity, helping them to integrate this approach
 into 
 their operating model allowing for continuous improvement going forward and the possibility of replication. 

Component 2: Sharing knowledge internally and externally

Subcomponent 2.1: Dissemination of the results and approach through an external
 workshop

Subcomponent 
 2.2: Documentation of the approach for internal IFC learning purposes",,,,,,"The objective of this project is to develop Laureate's capacity to measure results and to assess and understand the drivers of employability as a result of its programs in Mexico. IFC will partner with Laureate to develop and test a tailored methodology and system to measure the impact of their higher education programs related to the employability, social mobility, and gender parities of their graduates from the Universidad del Valle (UVM) and Universidad Tecnologica de Mexico (UNITEC).",,,,,,,,,,,,,,,600356,,,Sustainable Business Advisory,,2014-04-18T04:00:00Z,
512,Vietnam Resource Energy Efficiency,Advisory Services,,Active,East Asia and the Pacific,Vietnam,,,2014-06-10T04:00:00Z,,,,"The project will promote energy (resource) efficiency and clean energy interventions in selected export processing zones, industrial zones and clusters (IZs) in Vietnam. This will be achieved by providing in-depth advisory services to manufacturing firms
 
 and infrastructure management companies to develop demonstration projects that promote circular economy concepts while benefiting from synergies associated with multiple co-located industries. Project activities will include scoping assessments, detailed
 audits, 
 feasibility studies, awareness-raising, and training workshops. Cost-effective projects to avoid GHGs and freshwater will be implemented by facilitating access to financing from local partner banks or other sources. The practical experiences from
 implementation 
 of demonstration projects will provide a sound foundation for advising the Ministry of Planning and Investment (MPI) in promoting Low Carbon Eco-Efficient Zones that could serve as a model for sustainable private sector growth in Vietnam.",,,,,,"The project will promote uptake of industrial energy efficency /resource efficiency and clean energy projects in Vietnam by leveraging different types of aggregators - industrial zone management and infrastructure companies - operating in industrial zones and clusters. By targeted interventions at private sector manufacturing companies in selected Industrial Zones (IZs), the project will facilitate investment in cost-effective projects that help local businesses reduce operating costs while reducing GHG emissions and avoiding freshwater use.",,,,,,,,,,,,,,,599615,,,Sustainable Business Advisory,,2014-03-12T04:00:00Z,
513,Habib Bank Limited: Women Markets,Advisory Services,,Completed,Middle East and North Africa,Pakistan,,,2014-06-12T04:00:00Z,,,,The objective of this project is to help HBL develop a banking proposition for women markets in Pakistan based on research through focus groups and indepth interviews.,,,,,,The advisory engagement with HBL is focused on increasing access to finance for women markets in Pakistan. The project will guide HBL in designing a unique customer value proposition and business model to reach out to women markets in Pakistan. This will lead to fulfill HBL objective of expansion of their women account base and ultimately increase access to finance for women markets in Pakistan.,,,,,,,,,,,,,,,600325,,,Access To Finance,,2014-03-04T05:00:00Z,
514,Nepal SME Banking,Advisory Services,,Completed,South Asia,Nepal,,,2014-06-18T04:00:00Z,,,,"1. SME Banking and Risk Management Training: 
At least 4 training programs will be conducted for capacity building on SME Banking to financial institutions in Nepal. 
At least 2 training programs will be conducted for capacity building on Risk Management
 
 
 to financial institutions in Nepal. 
 
2. Advisory to atleast two financial institutions to assist them towards scaling up the SME portfolio and improving Risk Management practices of the banks as well as capacity building of its staff. The project
 will 
 
 be a light touch advisory approach involving SME Banking Check Diagnostic and/or Risk Management Diagnostic conducted by IFC's in-house experts, along with in-house training for the banks on SME Banking and Risk Management, based on demand.",,,,,,"1. Develop SME Banking capacity among regulators and commercial bankers of Nepal through the dissemination of SME Banking global best practices to the financial sector through conducting several advance level SME Banking training program and  strengthen financial institutions' Risk Management (RM) capacity and frameworks, portfolio monitoring and NPL management through dissemination of RM knowledge sector wide.
2. Provide advisory services to at least 2 BFIs on strengthening the banks' SME Banking/ RM practices",,,,,,,,,,,,,,,599173,,,Access To Finance,,2014-03-04T05:00:00Z,
515,MSME Access to Financial Services,Advisory Services,,Completed,South Asia,India,,,2014-06-19T04:00:00Z,,,,"This project aims to support the increased level of finance of MSMEs in India through building capacity of Financial Institutions in India. The main areas of focus for the project will be: 
1. Sector level intervention to strengthen market awareness on
 
 
 MSME Banking, risk and liquidity management and equity financing to MSMEs 
2. Capacity building of partner FIs in MSME financing 
3. Facilitating the adoption of customized and strong Risk Management practices for partner FIs",,,,,,"This project aims to support the increased level of finance of Micro, Small and Medium Enterprises (MSMEs) in India through sectoral interventions; working with regulatory bodies, apex institutions, national/sub-national FIs and by sensitizing Financial Institutions (FIs) on new models of financing MSMEs through innovative products and mechanisms; and also by building stronger credit information infrastructure system for micro enterprises and SMEs.

Further the Project also aims to facilitate an increased level of sustainable energy finance for MSMEs in selected cities.  This will be done through trainings/workshops, conducting technical audits, forming industry benchmarks and by working with public financial institutions.",,,,,,,,,,,,,,,600273,,,Access To Finance,,2014-04-08T04:00:00Z,
516,Haiti Credit Reporting,Advisory Services,,Active,Latin America and the Caribbean,Haiti,,,2014-06-23T04:00:00Z,,,,"The project aims to support the Government of Haiti and stakeholders in development of a full file comprehensive credit information sharing platform in line with international best practice standards. The project includes the following components:
- Credit
 
 Reporting System development
- Consumer education/awareness
- Capacity building",,,,,,"The project is expected to facilitate access to credit for individuals and MSME, including women entrepreneurs, in Haiti and in so doing, support the long-term growth and sustainability of the financial sector.  Specifically, the project seeks to improve the enabling environment, raise awareness of credit reporting and its implications for access to finance and to build the capacity of the local financial sector to contribute information and leverage the system to expand lending.",,,,,,,,,,,,,,,600303,,,Access To Finance,,2014-04-21T04:00:00Z,
517,West Africa Investment Policy,Advisory Services,,Completed,Africa,Western Africa Region,,,2014-06-25T04:00:00Z,,,,"The project will address a range of investment policy and business taxation issues that constitute barriers for the private sector to invest efficiently across the region. These issues include substantive and procedural investment entry restrictions, investment
 
 performance requirements, race-to-the-bottom dynamics in investment incentives, and lack of effective transfer pricing frameworks. Regional stakeholders (primarily the ECOWAS Commission) have already developed appropriate regional frameworks on most of
 the 
 issues (except transfer pricing), and have sought technical assistance to advance the implementation of the relevant reform initiatives in the region / across their membership.",,,,,,The objective of the project is to encourage investment flows that are a driver for economic development and growth within the West Africa region. Such investment flows will be enabled through policy and regulatory reforms in the area of investments regulation and business taxation. Reforms will contribute to a more open and more coherent regional investment framework in West Africa ultimately allowing the private sector to expand its investments more easily across the West Africa region.,,,,,,,,,,,,,,,599255,,,Investment Climate,,2014-04-30T04:00:00Z,
518,Suryoday,Advisory Services,,Completed,South Asia,India,,,2014-06-27T04:00:00Z,,,,"The project includes the following key components - 
1. Expand and deepen outreach through product development and process improvements
2. Strengthen the responsible finance focus of the institution",,,,,,The goal of the project is to improve access to financial services of the low income segment by assisting Suryoday to become more efficient and innovative in their product delivery.,,,,,,,,,,,,,,,600335,,,Access To Finance,,2014-06-06T04:00:00Z,
519,Tigo Cash,Advisory Services,,Completed,Africa,Ghana,,,2014-06-27T04:00:00Z,,,,"IFCs role in the project will be to provide technical advisory services that will support Tigo Cash in deploying their mobile money service. 

The project comprises;

Customer acquisition - In Ghana, access to formal financial services is low. Marketing

 
 mobile money to the unbanked requires a highly interactive approach using simplified products that resonate with the users day to day needs. This project will help the client develop and deploy an effective customer acquisition strategy that will target
 a
 
 larger segment of the population that presently has limited access to these services. 

Agent network build out and management - mobile banking deployments need a well-structured agent network/distribution strategy to support the growth, management
 and oversight
 
 of the network. The project will support the client in achieving this through review of their agent management structure and developing/hiring resources needed to manage the agent network. 
 
Business modelling - this will involve financial
 modelling to
 
 help the client build a sustainable operation that is sensitive to pricing for consumers and commissions for the entire value chain. Ultimately, this exercise will focus on ensuring that the business plans for sustainable growth - long term.",,,,,,"The objective of the proposed advisory services (the project) is to provide technical assistance to the client (Tigo Cash Ghana), a wholly owned subsidiary of Millicom Group to implement mobile money in Ghana. The project has the following objectives;

1. Extend their mobile money services and promote increased access to financial services in Ghana 
2. Grow the existing the mobile money agent network that will act as a customer service point for new and existing Tigo Cash customers
3. Improve the value proposition for customers and agents through the review of Tigo Cashs business model.

This program is funded by The MasterCard Foundation (MCF) whose objective is to increase the provision of financial services in Sub Sahara Africa to 5.3 million users.",,,,,,,,,,,,,,,600351,,,Access To Finance,,2014-05-13T04:00:00Z,
520,Sanasa Development Bank Limited,Advisory Services,,Completed,South Asia,Sri Lanka,,,2014-06-27T04:00:00Z,,,,"The project aims to expand access to financial services among MSMEs in Sri Lanka. Therefore the project will provide advisory services to SANASA Development Bank PLC to sustainably transform itself into an MSME bank from its current microfinance business
 
 by : 1. Assisting to conduct a comprehensive bank-wide in-depth diagnostic study and 2. Based on the findings of the diagnostic study, assist SANASA Development Bank PLC carry out the transformation process to become an MSME bank.",,,,,,The objective of the project is to assist SANASA Development Bank PLC to sustainably transform its business model to be able to include SME business from its current microfinance business model.,,,,,,,,,,,,,,,599638,,,Access To Finance,,2014-06-06T04:00:00Z,
521,Technical Assistance to IDLC,Advisory Services,,Completed,South Asia,Bangladesh,,,2014-06-27T04:00:00Z,,,,"IFC is helping IDLC to strengthen its SME Finance operation allowing the bank to solidify its position as a market leader among the Non-Bank Fiancial Institutions (NBFIs) in Bangladesh and consolidate its SME financing businesses through scaling up. IFC
 
 will advise the FI at the management levels to ensure that it meets international best practices in SME Banking. This comes at a time when South Asia banks are implementing new and innovative tools for SMEs. The partnership is primarily designed to allow
 the 
 FI to expand lending to sub-urban customers along with small and medium enterprises, thus helping Bangladeshi enterprises to grow and create jobs.",,,,,,"The project will build capacity at IDLC Finance Ltd. to increase the institution's ability to carry on lending to SMEs on a larger scale with increased profitability and improved processes. The deliverables of the project are aimed at automating the systems and processes relating to credit risk management along with capacity building of human resources, developing a non-financial services model, and ramping up women entrepreneur portfolio.",,,,,,,,,,,,,,,599843,,,Access To Finance,,2014-04-25T04:00:00Z,
522,Airtel Money,Advisory Services,,Completed,Africa,Uganda,,,2014-06-27T04:00:00Z,,,,"IFCs role in the project will be to provide technical advisory services that will support Airtel Money Uganda and Airtel Money Zambia in deploying their mobile money service. 

The project comprises;

Market research - in Uganda, a market needs assessment
 will be conducted and an inactivity study in Zambia to help the operations develop a better understanding of their markets financial service needs and user dynamics. This information will help them improve their roll-out plans, product features, pricing and
 marketing message.

Customer acquisition and product development - In both markets, access to formal financial services is low. Marketing mobile money to unbanked users requires a highly interactive approach that uses simplified products that can resonate
 with entry users day to day needs. This program will help the clients develop and deploy effective customer acquisition strategies and products that address the needs identified in the market research/inactivity studies proposed above. 

Agent network build
 out and management - mobile banking deployments need a well-structured agent network/distribution strategy to support the growth, management and oversight of the network. The project will support the clients in achieving this through agent strategy review
 and operations improvements (including call center in Uganda) and developing/hiring resources needed to manage the agent network. 
 
Business modelling - this will involve financial modelling that will help the clients design sustainable operations that
 are sensitive to pricing for consumers and commissions for the entire value chain. Ultimately, this exercise will focus on ensuring that the business plans for sustainable growth - long term.",,,,,,"The objective of the proposed advisory services (the project) is to support the clients (Airtel Money Uganda), wholly owned subsidiaries of Bharti Airtel, to implement mobile money. The program has the following objectives;

1. Extend their mobile money services and promote increased access to financial services in Uganda
2. Grow the existing mobile money agent network that will act as a customer service point for new and existing Airtel Money customers
3. Improve the customer value proposition through the introduction of new products/services that result in efficient and cost effective means of transacting.
4. Enhance the efficiency of Airtel Moneys operations by supporting the deployment of improved information management tools and distribution infrastructure that will result in improved agent performance and customer experience 

The Airtel Uganda project is funded by Bill & Melinda Gates Foundation.",,,,,,,,,,,,,,,600010,,,Access To Finance,,2014-04-21T04:00:00Z,
523,KM LAC Tax,Advisory Services,,Completed,Latin America and the Caribbean,Latin America Region,,,2014-06-30T04:00:00Z,,,,"This is a regional project and part of the Business Taxation program in Latin America and the Caribbean (LAC) that leverages global expertise and best practices, and partners with national and local governments to enhance their local business environments
 
 by improving their tax systems. The project draws on the experience from Business Taxation projects in LAC and other global regions, emphasizes regional knowledge-sharing, encourages dialogue and cooperation, uses peer-to-peer workshops and regional events
 
 to share reform best practices and lessons learned, and helps shape an agenda for the elimination of harmful tax competition in the region. This project will be structured and implemented around the following three components: 1) Organization of regional
 peer 
 learning events, 2) Development of knowledge products, and 3) Dissemination of knowledge products.",,,,,,"The objective of this project is to facilitate dialogue, peer learning and knowledge dissemination among regional public and private stakeholders around regional and global good practices on business tax policy and administration.  This will ultimately help governments identify suitable and balanced reform paths aimed at improving the business climate in their respective countries, especially benefitting micro and small businesses, as well as contribute to preventing harmful regional tax competition.",,,,,,,,,,,,,,,600187,,,Investment Climate,,2014-03-12T04:00:00Z,
524,VSE Banking,Advisory Services,,Completed,Middle East and North Africa,Country Name Pending,,,2014-06-30T04:00:00Z,,,,"IFC will support one of the largest bank in the MENA Region to strengthen its Very Small Enterprise (VSE) business allowing the bank to solidify its position as a market leader and expand its outreach to the largely underserved VSE segment in the country.
 
 
 
IFC 
 
 
 will advise the bank at the board and management levels to ensure that it meets international best practices in VSE business as the bank is preparing to grow its VSE portfolio. The partnership is also designed to allow the bank to expand
 
 lending to VSEs, thus 
 
 
 helping enterprises to grow and create jobs.",,,,,,"The objective of this project is to help one of the largest banks in the MENA region, to expand its outreach to the largely underserved VSE segment by building institutional capacity at the time of the bank is preparing to grow its VSE business.","<table>
	<tr>
		<th>Indicator</th>
		<th>Calendar Year 2015 Results</th>
		<th>Cumulative Results as of 2015</th>
	</tr>
	
</table>",,,,,,,,,,,,,,600099,,,Access To Finance,,2014-04-21T04:00:00Z,
525,Investment Climate Rapid Response,Advisory Services,,Completed,Africa,Africa Region,,,2014-07-01T04:00:00Z,,,,"The Investment Climate Rapid Response (ICRR III) project plays a key role in supporting the expansion of IC reform in Sub-Saharan Africa. The objective of ICRR is to respond to business development requests from clients and field teams in a timely manner,
 
 to kick-off IC reform efforts where there is new demand, and ensure continued momentum in new areas with existing reformers. The project will also partially support efforts to deepen IC Africa's understanding of the impact of its interventions - the results
 
 of which play an important role in directing the strategic focus of ICRR's business development efforts.",,,,,,"The Investment Climate Rapid Response (ICRR III) project will be instrumental in launching new T&C projects or project additions, support clients in making substantial policy or procedural reforms, and deepen the WBG's understanding of the impact of IC reform.",,,,,,,,,,,,,,,600243,,,Investment Climate,,2014-03-26T04:00:00Z,
526,AB Microfinance Bank Nigeria,Advisory Services,,Completed,Africa,Nigeria,,,2014-07-11T04:00:00Z,,,,"Access to Financial Services is low, but improving in Nigeria. By 2012, the proportion of the banked population increased to one third of Nigerians. However, high demand for financial services remains unmet. In order to increase access to financial services
 
 
 for low income and SME customers, AB Microfinance Bank Nigeria in partnership with a local payments processing and switch provider aims to develop a mobile banking and cards solution to enable customers to make transactions remotely at alternative channels.
 
 
 Increased convenience will make it easier for lower income customers to join and use banking services.",,,,,,"The overall aim of this project is to increase AB MFB's outreach beyond traditional branches by encouraging the use of interoperable cards and mobile channels among new and existing customers.  Through these channels, ABN will be able to attract new customers, particularly low-income depositors and significantly more deposits so that it can continue to lend affordably to individuals and SMEs that need financing.",,,,,,,,,,,,,,,599221,,,Access To Finance,,2014-02-18T05:00:00Z,
527,Niger Irrigation,Advisory Services,,Completed,Africa,Niger,,,2014-07-18T04:00:00Z,,,,"Niger is one of three African countries selected to participate in the World Bank managed Pilot Program for Climate Resilience (PPCR). Under the PPCR, US$50 million in grant finance and US$60 million in concessional loan finance is available to fund the

 
 interventions detailed in Niger's Strategic Program for Climate Resilience (SPCR). The IFC and the private sector arm of the African Development Bank are responsible for the private sector interventions within Niger's SPCR.

Niger is a dry country that
 is
 
 predicted to get drier with climate change. Increased access to improved irrigation will make Niger's agricultural sector more resilient to climate change and enhance food security for the country. Hence it is critically important that the agricultural
 sector
 
 in Niger adopts improved irrigation techniques. Improved irrigation technologies will improve productivity and lead to the efficient use of the country's scarce water resources. It will also enable farmers in Niger to protect their crops and livelihoods
 despite
 
 longer dry seasons and unexpected weather events (such as heat waves).

In 2012, the IFC conducted an in-depth market study with PPCR grant finance to investigate opportunities for private sector investment in improved irrigation systems. The
 proposed Niger
 
 Irrigation Project will test and implement the recommendations from the IFC study in a two-phased approach. 

Phase I comprises an Advisory Services (AS) program to test the financial viability of commercializing improved irrigation systems
 by the private
 
 sector to farmers in Niger. The program will facilitate access and adoption of these systems by farmers in Niger and aims to increase agricultural productivity of farmers and strengthen farmers resilience to climate change. 

Pending
 the success of Phase
 
 I, a second phase will comprise investments and associated AS programs to scale up private sector investments in improved irrigation systems in Niger. The results of Phase I will inform the investment structures that will be used
 in Phase II. The rationale
 
 for the two-phased approach is that market conditions do not currently exist to provide irrigation equipment on a fully commercial basis.
 
The specific components of the program are: 

1. Competitive selection of a lead
 agricultural input firm to provide
 
 irrigation equipment to small and medium sized farmers in Niger, and provision of support to the firm in the expansion of its irrigation business in the country to reach farmers.

2. Providing of training to farmers
 on financial management as well as on
 
 the installation and use of improved irrigation systems and associated inputs (e.g. greenhouses, hybrid seeds, fertilizers and pesticides).

3. Facilitate increased access to markets for farmers participating in
 the program.",,,,,,"The goal of the Niger Irrigation Project is to promote private sector investments in irrigation in Niger.  A private firm (the client) interested to conduct business in the irrigation sector in Niger will be selected through a competitive bidding process.  IFC funds under the Pilot Program for Climate Resilience will then be used to finance the training of farmers and to partially cover the costs of irrigation equipment used in the program during the pilot period.  The farmers will be trained by the client to use the improved irrigation equipment and to manage their finances with regards to the purchase of the irrigation equipment.  The IFC will work with the client to design appropriate training methods as well as structures for private sector financing of irrigation equipment.  If successful, the project is expected to subsequently facilitate access to irrigation equipment for farmers in Niger through private sector financing.

The client will provide initial training on relevant technology, agronomy and finance to a group of select farmers. Farmers will be selected for training and may receive finance based on their skills and commitment to the program. These farmers will serve as demonstration of the technical and financial feasibility of the proposed interventions. 

The project will track results via the number of farmers that receive training, and the number of farmers that purchase, install and operate irrigation equipment as a result of the project.  The project will also track the number of hectares under imporved irrigation, and the agronomy results for the farmers, including increases in producitvity and reduction in water use.",,,,,,,,,,,,,,,600247,,,Sustainable Business Advisory,,2014-03-03T05:00:00Z,
528,Lighting Nigeria,Advisory Services,,Completed,Africa,Nigeria,,,2014-07-22T04:00:00Z,,,,"In Nigeria, 65% of the population, or 104 million people do not have access to electricity. The situation is even more acute in rural areas with only 16% grid access rates. In addition, 40% of the population is 'under-electrified' i.e. having less than
 
 12 hours of grid power per day.

The WBG through the Lighting Africa Program in Nigeria aims to increase access to better, cleaner and safer off-grid lighting to the rural populations not connected to the grid. The program will accelerate the development
 
 of the markets for modern off-grid lighting products. 

The program will accomplish this by undertaking a number of market development activities:
-Market Intelligence: to help product marketers and distributors understand the new off-grid lighting market
 
 segment, supply and distribution chains. The insights from the research serve to inform their business and strategic plans.
-Quality Assurance: promoting the adoption of Lighting Global quality standards across the sector to counter the risk of market
 spoilage 
 from the infiltration of low quality products that erodes confidence in the new off-grid technologies among consumers, financiers and stakeholders.
-Access to finance: Adequate financing along the entire supply chain has been identified as being
 critical 
 for the growth of the off-grid lighting market. The program will develop financing facilities through financial institutions to meet the demand from the market.
-Consumer Education: creating awareness, for a market to grow and thrive, consumers
 must know 
 what products are available and understand the value and benefits of these products over what the consumers are currently using (kerosene and candles). Consumers must also be able to distinguish between good and poor quality products in order
 to get good value 
 for their scarce resources. 
-Business Development Support: provide a range of market and business development support activities directly to manufacturers, distributors and retailers under this component with the objective of fostering
 competition and creating 
 a vibrant and competitive market that will extend distribution to the rural areas.",,,,,,"With 20 million Nigerians using kerosene as their primary source of lighting, the program seeks to accelerate the development of markets for clean off-grid lighting products . This will be done by addressing market barriers and working with the private sector to build and develop supply chains to extend distribution to rural areas. Transition to cleaner alternatives will result in the avoidance of  of GHG emissions which would have been generated through the use of kerosene for lighting.",,,,,,,,,,,,,,,600191,,,Sustainable Business Advisory,,2014-07-01T04:00:00Z,
529,Caja Arequipa Ag,Advisory Services,,Completed,Latin America and the Caribbean,Peru,,,2014-07-24T04:00:00Z,,,,"The project is structured in the following components:
Component 1 - Apurimac Roll Out Study and Design: The aim is to support the institution to design a sustainable product and plan for a roll out in the Apurimac region.
Component 2 - Apurimac Roll
 Out Implementation: The aim is to test the institution's product in selected rural areas and adjust it to the needs of the identified market segment accordingly to reach profitability of the product portfolio.
Component 3 - Development of a business strategy:
 The aim is to prepare a financially sustainable expansion plan to support the implementation of the micro-agrifinance product to other rural regions in the center and south of the country.",,,,,,"The expected development impact of this project is to increase access to formal financial services of rural population in frontier regions in Peru. This will be achieved by supporting Caja Arequipa to design and roll out a micro rural agrifinance product
 in the Apurimac region and develop an agricultural lending product business strategy to roll out the product in other regions.",,,,,,,,,,,,,,,600443,,,Access To Finance,,2014-06-04T04:00:00Z,
530,CGColombia,Advisory Services,,Completed,Latin America and the Caribbean,Colombia,,,2014-07-25T04:00:00Z,,,,"Consistent with IFC's long-tested CG programmatic approach, which has been shown to have greater long-term impact on improving practices in a market, the project consists of activities across 4 inter-related components:

1. Macro Level:

- Conducting
 
 and speaking at awareness raising events on the business case for improving CG for various stakeholders in Colombia, helping share best practices and case studies. Project partners will be engaged in this effort, such as the Confecamaras, local chambers
 of 
 commerce, educational institutions.

- Disseminating best practice publications and tools to encourage greater adoption of good practices. 

- Providing support to local networks promoting good CG practices such as the Colombian Companies Circle.
 

- 
 Developing and promoting methodologies to analyze and improve corporate governance of various types of firms. The project will seek to develop an appropriate regional-specific CG methodology for SMEs (also utilizing the work done under the SECO-funded
 project 
 in Colombia on SME governance), MFIs and, possibly, cooperatives. 

- Working with interest groups, on issues such as gender equality, to increase the awareness of relevant topics in CG. 

2. Regulatory Level: Project activities under this component
 will 
 be the responsibility of WB and will be accounted in a separate WB project. More specifically WB will support the development and/or improvements of CG-related regulations, conduct country/sector diagnostics, provide training to the staff of the regulators,
 
 etc.

3. Market Level:

- Supporting the creation of a new institute of corporate governance in Colombia and helping develop its capacity to provide CG services to firms. 

- Supporting market intermediaries such as Confecamaras, local chambers of
 commerce, 
 educational institutions to build their capacity and understanding of CG issues to enable them to become change agents in their respective investment programs. 

- Conducting workshops for market intermediaries, training institutions and the
 media to help 
 build their expertise. 

- Roll out and disseminate the IFC's toolkits on director training organizations, board leadership, media, alternative dispute resolution and others.

- As capacity building of local intermediaries is a key element
 of this project, 
 the team will monitor the progress of the partner's capacity to deliver CG services, following the methodology developed in ECA region. 

4. Firm Level:

- Conducting CG assessments or consultations for selected private companies to
 help them implement 
 better CG practices with the focus on IFC investment clients and pipeline.

- Provide CG AS services to select SMEs directly or through the local partners as a continuation of the SECO project implemented by Confecamaras and local
 chambers of commerce.

- 
 Providing other specialized advisory services to select firms and groups of companies in the forms of workshops, consultations, one on one advice. This may include general CG training for directors and executives or more specific
 topics such as Banking, Family 
 Governance, SME CG, and other.

- Some of the firm-level work will be conducted in conjunction with local intermediaries in order to build their capacity in delivery these types of firm-level services.",,,,,,"The overall goal of the project is to strengthen the corporate governance enabling environment in Colombia and ultimately help firms, including small-medium enterprises (SMEs), family-owned enterprises (FOEs), financial institutions including microfinance institutions (MFIs), and State-Owned Enterprises (SOEs) improve performance, access to finance, and overall sustainability through better governance practices.",,,,,,,,,,,,,,,600515,,,Sustainable Business Advisory,,2014-07-02T04:00:00Z,
531,Warehouse Receipt System,Advisory Services,,Completed,Africa,Country Name Pending,,,2014-07-30T04:00:00Z,,,,"The project will establish a warehouse receipt system (WRS) legal and regulatory framework conducive for financial institutions to offer credit to smallholders and Small and medium enterprises (SMEs) operating in the agricultural sector. In order to tackle
 
 the issue of access to finance, IFC will support the design and implementation of a robust warehouse receipts system by undertaking the following activites:

Phase 1 

 Introduction of a legal and regulatory framework development


Phase 2: 

Provision

 
 of technical expertise and assistance to Warehouse receipt system regulatory unit during start up phase

Sensitization and training of stakeholders

Assistance to the warehousing industry

Stakeholder engagment for a warehouse receipts trading platform.",,,,,,The project will support the development of an enhanced legal and regulatory framework for warehouse receipt financing that will significantly scale up structured trading and improved access to finance opportunities for smallholder farmers and agricultural value chain actors and stakeholders.,,,,,,,,,,,,,,,600203,,,Investment Climate,,2014-06-05T04:00:00Z,
