Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
BICF Institutional Capacity Building,Advisory Services,"",Completed,South Asia,Bangladesh,"","",2009-10-28T04:00:00Z,"","","","The project provides assistance to the government of Bangladesh at the 
national and subnational levels. It addresses institutional failures 
within government agencies, supports improvement of investment-promotion 
strategies, strengthens institutional capabilities, and supports the use 
of alternative dispute resolution (ADR). Objectives by June 2010 include: 
1) successful settlement of 20 cases through ADR; 2) improved Board of 
Investment score (from 43 to 60) on the Global Investment Promotion 
Benchmarking Index; 3) Bangladesh Bank's development and tracking of two 
indicators related to the investment climate; 4) production of four 
substantial reports on investment-climate issues by the research staff of 
Bangladesh Bank; and 5) identification and development of at least 40 
mid-level civil servants as PSD (private sector development) champions.","","","","","","","","","","","","","","","","","","","","",569887,"","",Investment Climate,"",2009-09-29T04:00:00Z,2009-06-01T04:00:00Z
Access to Finance for Producers/Farmers,Advisory Services,"",Completed,Africa,Ethiopia,"","",2009-10-28T04:00:00Z,"","","","The three-year project helps expand the use of Warehouse Receipt (WHR) 
in the banking industry in Ethiopia, to increase access to finance for the 
agriculture sector. Phase I raises public awareness via forums and 
workshops involving the government, banks, and industry associations; 
assists the Ethiopia Commodity Exchange (ECX); and provides regulatory 
capacity building. Phase II offers advisory services to banks; and 
facilitates awareness raising among farmers and small and medium 
enterprises (SMEs). Objectives are: 1) to create an enabling environment 
for access to finance, by raising public awareness of WHR mechanism; 2) to 
strengthen the operations of ECX in targeted areas and enhance market 
acceptance of WHR; 3) to facilitate the development of WHR as a way to 
increase access to finance and play a facilitating role between the 
Central Bank, ECX, and the banking industry; and 4) to provide training 
and advisory services to several pilot banks that commit to introducing 
WHR-based financing.","","","","","","","","","","","","","","","","","","","","",570287,"","",Access To Finance,"",2009-09-08T04:00:00Z,2009-06-01T04:00:00Z
BICF-Regulatory Reform Phase 2 (FY 10-11),Advisory Services,"",Completed,South Asia,Bangladesh,"","",2009-10-28T04:00:00Z,"","","","The BICF (Bangladesh Investment Climate Fund) regulatory reform project 
assists the government with implementing a critical mass of reforms that 
are difficult to reverse. It works with the Regulatory Reforms Commission 
to develop a systematic approach to identifying reform options, and to 
become more proactive in pushing implementation. It also works with the 
bureaucracy, creating incentives for proactive reform initiatives from 
within the bureaucracy, to complement the top-down pressure. The overall 
objective is reduction in the regulatory burden to businesses, as measured 
by time and costs. Specific objectives include: 1) simplifying 12 
regulatory processes, including at least 5 Doing Business-related areas; 
2) subjecting 20 percent of new business regulations to regulatory impact 
analysis; 3) populating the e-registry with all business regulations; 4) 
government implementation of at least 5 competition-enhancing 
recommendations and 20 government-to-business e-governance initiatives; 
and 5) 50 government officials acquiring substantial knowledge of 
regulatory issues and reform options.","","","","","","","","","","","","","","","","","","","","",571047,"","",Investment Climate,"",2009-09-29T04:00:00Z,2009-09-01T04:00:00Z
Global Risk Mgmt Advisory Services Program,Advisory Services,"",Completed,World,World Region,"","",2009-10-28T04:00:00Z,"","","","The Advisory Services project provides risk management capacity building 
for financial institutions in emerging markets, helping them become more 
robust and enabling them to build internal risk processes and capacity to 
perform their vital role as financial intermediaries in the local 
economies. The project, which will continue beyond the current financial 
crisis, generally relies on private sector consultants for implementation, 
with IFC oversight. It helps clients identify gaps and weaknesses, 
proposes solutions, and assists with prioritizing. The immediate objective 
is to lessen the impact of the current financial crisis on emerging 
markets, by strengthening the risk management capabilities of local 
institutions and mitigating any systemic crisis impact on local economies. 
The long-term objective is for the financial institutions to emerge from 
the crisis with enhanced risk management frameworks and capabilities to 
protect against future crises.","","","","","","","","","","","","","","","","","","","","",572227,"","",Access To Finance,"",2009-09-02T04:00:00Z,2009-07-15T04:00:00Z
Business Edge Africa - Phase one,Advisory Services,"",Completed,Africa,Africa Region,"","",2009-12-15T05:00:00Z,"","","","The project supports the Africa SMS (SME Management Solutions) efforts to 
build the regional infrastructure required to roll out Business Edge (BE) 
in and across Africa. The two-phase project will provide a key knowledge 
management function, with this first phase covering eight countries. 
Specific activities include translating 53 BE trainer manuals and 
workbooks into French and Portuguese, adapting trainer manuals to local 
conditions, training and certifying 150 BE trainers and up to eight master 
trainers, developing and supplying BE marketing tools, marketing BE, 
hosting one BE practitioners event, developing new BE modules as needed, 
and executing nine corporate value chain mandates. The objective is to 
introduce and sustainably implement Business Edge in Africa.","","","","","","","","","","","","","","","","","","","","",568347,"","",Corporate Advice,"",2009-10-26T04:00:00Z,2009-01-01T05:00:00Z
BICF -Econ Zones,Advisory Services,"",Completed,South Asia,Bangladesh,"","",2009-12-15T05:00:00Z,"","","","The project supports the development of economic zones (EZs) by improving 
the regulatory framework and institutions for establishing new zones in 
Bangladesh. Specific actions include establishing an Economic Zones 
Regulatory Authority or proxy, drafting standards for environmental and 
social compliance in EZs, developing and implementing a 
monitoring/enforcement mechanism for environmental and social compliance, 
and providing zone-specific capacity-building support. Objectives include: 
1) three private EZs licensed by June 2010; 2) at least two EZs licensed 
under the public-private partnership (PPP) model by 2010; 3) all new EZs 
established according to due diligence and commercial principles 
(cost-recovery basis) by 2010; 4) 20 percent of all services (effluent 
treatment plant, electric power, water distribution, security, schools, 
and health) provided to EZs under PPPs by 2010; and 5) 60 percent of firms 
in EZs compliant with EZ labor and environmental standards by 2010.","","","","","","","","","","","","","","","","","","","","",570009,"","",Investment Climate,"",2009-10-01T04:00:00Z,2009-08-01T04:00:00Z
Kosovo KEK,Advisory Services,"",Completed,Europe and Central Asia,Kosovo,"","",2010-01-28T05:00:00Z,"","","","The project assists the government of Kosovo with possible privatization 
of KEK, the country's publicly owned utility, via private sector 
participation (PSP). Phase 1 reviews the feasibility of introducing PSP in 
the distribution network and supply functions of KEK. If Phase 1 
determines that a PSP is viable from the market perspective and beneficial 
for the country, Phase 2 will introduce a transparent tender process to 
attract a private investor with the necessary funds and expertise for 
solving the KEK operational failures (high overstaffing, inadequate 
management, outdated equipment) and financial problems (due in particular 
to low collection rates). The objective is successful completion of the 
bidding process, with selection of a strategic reputable private operator. 
Expected impacts include: 1) mobilization of foreign direct investment; 2) 
unlocking of Kosovo's economic potential (an unreliable power supply is 
often cited as the country's single largest barrier to investment); and 3) 
improved services for 370,000 KEK customers.","","","","","","","","","","","","","","","","","","","","",29107,"","",Infrastructure,"",2009-12-14T05:00:00Z,2009-11-13T05:00:00Z
Agri-Finance and Regulatory Reform in Tajikistan,Advisory Services,"",Completed,Europe and Central Asia,Tajikistan,"","",2010-01-28T05:00:00Z,"","","","The project provides advisory services to support the development of the 
agriculture sector in Tajikistan by reducing the regulatory burden on 
farmers and agribusiness entities and by increasing their access to 
finance through lease and equipment financing. Objectives are: 1) to 
improve the business environment for agriculture and agribusiness finance 
by reducing administrative barriers and requirements via improvement or 
elimination of procedures; and 2) to promote agri-finance through a focus 
on equipment and lease finance. Anticipated results include reduction of 
cost and time required to do business, increased farm productivity through 
use of newer and more efficient machinery, and expanded access to finance 
for agricultural entities.","","","","","","","","","","","","","","","","","","","","",569903,"","",Access To Finance,"",2009-12-10T05:00:00Z,2010-02-01T05:00:00Z
KMIP,Advisory Services,"",Active,Africa,Kenya,"","",2010-04-08T04:00:00Z,"","","","The project provides advisory support to the government of Kenya in 
establishing a multimedia ICT (information and communication technology) 
park that will be critical to achievement of the country's Vision 2030 
objectives. In addition to its multimedia components, the park will 
include multi-use facilities such as office blocks, industrial parks, 
recreational facilities, a golf course, shopping malls, hotels and 
restaurants, and residential houses, among other facilities and amenities. 
Project objectives include completion of four major reports by the end of 
the first year, and one successful bid concluded by two years from 
implementation start date. Establishment of the multimedia ICT park is 
expected to trigger the growth of such knowledge-based industries as BPO 
(business process outsourcing) services, software and hardware 
development, and the development and packaging of multimedia local 
content, among others, and to improve the productivity and competitiveness 
of private sector enterprises in Kenya.","","","","","","","","","","","","","","","","","","","","",27728,"","",Infrastructure,"",2010-01-20T05:00:00Z,2009-11-15T05:00:00Z
SSA Health Implementation Strategy,Advisory Services,"",Completed,Africa,Africa Region,"","",2010-04-22T04:00:00Z,"","","","The project is a subcomponent of another project ((#564988) and builds on 
earlier work (#561809) to address market failures in Sub-Saharan Africa. 
It is a partnership effort of IFC's Health and Education Department, 
Corporate Investment Committee, and Private Enterprise Partnership for 
Africa. Objectives include: 1) completing private health sector 
assessments and stakeholder engagement processes, with the aim of 
developing policy reform and investment projects in Burkina Faso, Uganda, 
Congo, and Rwanda; 2) developing a policy guidebook (practical advice, 
examples, and case studies on how the private sector can play a role in 
achieving national health goals) to help equip African policy makers with 
the tools necessary to engage the private sector; 3) publishing policy 
notes on private sector engagement, and in-depth studies on the role of 
the private sector in health worker education and insurance; 4) publishing 
and disseminating the Flagship Report; and 5) completing market studies in 
a further two or three countries yet to be identified.","","","","","","","","","","","","","","","","","","","","",564988,"","",Investment Climate,"",2010-02-23T05:00:00Z,2010-01-01T05:00:00Z
Ukraine Cleaner Production,Advisory Services,"",Active,Europe and Central Asia,Ukraine,"","",2010-04-22T04:00:00Z,"","","","The project supports cleaner production (CP) waste-to-energy investments 
in Ukraine by improving the regulatory environment, stimulating the uptake 
of CP improvements and investment at the company level, and raising 
awareness of CP among policy makers and in agribusiness and industry. The 
overall objective is to promote uptake of CP investments in Ukraine, 
specifically in the agribusiness sector. Anticipated long-term results 
include: 1) facilitated volume of investment in CP projects ($150 million 
by IFC and other financial institutions); 2) reduced costs (cumulatively 
$30 million per year) from CP improvements; 3) increased energy and 
resource efficiency of Ukrainian enterprises; and 4) avoided pollution 
(targeting 230,000 tons per year of CO2 equivalent avoided directly by the 
financed projects).","","","","","","","","","","","","","","","","","","","","",568089,"","",Other,"",2010-02-04T05:00:00Z,2010-01-01T05:00:00Z
Russia Residential Energy Efficiency Program,Advisory Services,"",Completed,Europe and Central Asia,Russian Federation,"","",2010-04-22T04:00:00Z,"","","","The project assists Russian homeowner associations and housing management 
companies with gaining access to finance for the purpose of improving the 
energy efficiency (EE) of the country's existing housing stock. It does so 
by creating an effective legal and institutional platform. Specific 
actions include: 1) addressing key legal and regulatory issues, 
particularly the framework for EE in residential buildings and legislation 
enabling local homeowner associations and management companies to access 
finance for improving EE in multifamily buildings; 2) working with partner 
Russian banks to develop and market financially viable residential EE 
products; and 3) increasing awareness about residential EE among key 
market stakeholders. The objective is to facilitate at least $100 million 
of investment into energy-efficient renovations of multifamily buildings, 
and to directly avoid at least 400,000 tons of CO2 emissions per year.","","","","","","","","","","","","","","","","","","","","",574447,"","",Access To Finance,"",2010-02-17T05:00:00Z,2010-03-01T05:00:00Z
Nepal Investment Climate Reform Program - Public Private Dialogue,Advisory Services,"",Active,South Asia,Nepal,"","",2010-07-20T04:00:00Z,"","","","The project establishes a public-private dialogue (PPD) to bridge the gap 
in trust between the public and private sectors in Nepal. Specifically, it 
creates the institutional platform necessary for results-oriented policy 
dialogue. Objectives include: 1) a new PPD mechanism for investment 
climate reforms; 2) four recommended laws, regulations, amendments, or 
codes enacted by the end of 2012; 3) 50 processes, procedures, or 
practices improved or eliminated (out of 200 recommendations proposed by 
the PPD) by the end of 2012; 4) enactment rate of proposed reforms 
improved by 10 percent per year for two years; 5) measurable improvement 
of Nepal's reform process and organizational effectiveness; 6) $5 million 
in private sector cost savings generated through 15 implemented investment 
climate reforms by the end of 2012, and $10 million in cumulative savings 
by the end of 2014; 7) improved perception of importance and support of 
business reforms among relevant stakeholders; and 8) increased coverage of 
Nepal Business Forum's operating costs by business membership 
organizations and the government, to make NBF more sustainable.","","","","","","","","","","","","","","","","","","","","",575070,"","",Investment Climate,"",2010-04-03T04:00:00Z,2010-04-01T04:00:00Z
Cleaner Production in ECA region,Advisory Services,"",Active,Europe and Central Asia,Eastern Europe Region,"","",2010-07-20T04:00:00Z,"","","","The program conducts at least 30 scoping visits and at least 20 in-depth 
advisory engagements with clients in the Europe and Central Asia region to 
promote the uptake of cleaner production (CP) investments in Eastern 
Europe. It performs initial CP audits for each client and produces 
baseline data. The program also conducts at least eight workshops to raise 
awareness of CP among firms, policy makers, and financial institutions. 
Approximately 50 percent of program activities are in IDA (International 
Development Association) countries or in frontier regions of middle-income 
countries. Objectives are to: 1) facilitate $90 million (including $60 
million from IFC) of investment in CP projects; 2) reduce costs by $18 
million per year as a result of CP improvements; 3) avoid 120,000 tons per 
year of GHG emissions through financed projects; and 4) increase overall 
energy and resource efficiency of client enterprises.","","","","","","","","","","","","","","","","","","","","",577207,"","",Other,"",2010-04-26T04:00:00Z,2010-03-09T05:00:00Z
Punjab Wheat Silos (Pakistan),Advisory Services,"",Completed,Middle East and North Africa,Pakistan,"","",2011-02-23T05:00:00Z,"","","","The project assists the government of Punjab, Pakistan, in exploring 
public-private partnership (PPP) options to expand the storage capacity 
and operations of grain silos. The second (transaction) phase will conduct 
a bidding process by December 2011 and develop a concession agreement and 
signing of the PPP contract between the government and the winning bidder 
by March 2012. Long-term objectives are to: 1) increase scientific 
grain-storage capacity in the province by 800,000 metric tons by December 
2013; 2) mobilize private sector investment of about $100 million in 
storage and handling of grain by December 2013; 3) increase by 8 million 
the number of people with access to improved wheat supply; and 4) effect a 
positive fiscal impact for the government of Punjab of approximately $43 
million, generated from reduction of losses (quantity and quality), due to 
improved storage and handling of grain by 20122013.","","","","","","","","","","","","","","","","","","","","",29743,"","",Public-Private Partnerships Transaction Advisory,"",2010-11-24T05:00:00Z,2010-10-01T04:00:00Z
Sindh Silos (Pakistan),Advisory Services,"",Completed,Middle East and North Africa,Pakistan,"","",2011-02-23T05:00:00Z,"","","","The project assists the government of Sindh, Pakistan, in exploring 
public-private partnership (PPP) options to expand the storage capacity 
and operations of grain silos. The second (transaction) phase will conduct 
a bidding process by December 2011 and develop a concession agreement and 
signing of the PPP contract between the government and the winning bidder 
by March 2012. Long-term objectives are to: 1) increase scientific 
grain-storage capacity in the province by 500,000 metric tons by December 
2013; 2) mobilize private sector investment of about $60 million in 
storage and handling of grain by December 2013; 3) increase by 5 million 
the number of people with access to improved wheat supply; and 4) effect a 
positive fiscal impact for the government of Sindh of approximately $27 
million, generated from reduction of losses (quantity and quality), due to 
improved storage and handling of grain, by 20122013.","","","","","","","","","","","","","","","","","","","","",30017,"","",Public-Private Partnerships Transaction Advisory,"",2010-11-24T05:00:00Z,2010-10-01T04:00:00Z
Ukraine Agri-Finance Project,Advisory Services,"",Completed,Europe and Central Asia,Ukraine,"","",2011-02-23T05:00:00Z,"","","","The project provides advisory assistance and capacity building to 
financial institutions in Ukraine. It helps enhance the institutions' 
agri-lending capacity by: 1) developing agronomy-based credit risk 
management tools for banks to better understand agricultural production 
processes, ensuing risks, and corresponding funding needs for farms; 2) 
introducing bank-loan and financing products specifically for 
agri-lending, and corresponding credit policies and procedures; and 3) 
developing and providing training for bank loan officers on the use of 
these tools, products, policies, and procedures. The objective is to 
increase access to finance for farmers and thereby support farmers' 
agricultural production. Specifically, it aims to facilitate at least $40 
million of investments ($20 million by IFC) for about 150 loans to at 
least 100 separate farms by the end of 2014.","","","","","","","","","","","","","","","","","","","","",564788,"","",Access To Finance,"",2010-09-16T04:00:00Z,2010-11-01T04:00:00Z
Cleaner Production for Companies (MENA),Advisory Services,"",Active,Middle East and North Africa,MENA Region,"","",2011-02-23T05:00:00Z,"","","","The program works with individual companies, groups of companies, and lead 
organizations to increase uptake of cleaner production (CP) practices and 
technologies to improve their financial performance through savings in 
energy, water, raw materials, and waste disposal. Objectives include: 1) 
at least 10 of 15 companies implementing CP recommendations, resulting in 
at least 50 percent of potential energy, water, and materials savings, 
annual avoidance of 50,000 metric tons of GHG emissions, reduction of 
70,000 megawatt hours of energy consumption, annual cost savings 
equivalent to $5 million, and accessing $5 million financing to implement 
recommendations; and 2) at least one group of companies and one lead 
organization establishing a systemic approach to extend or replicate CP 
practices and technologies within the group or client portfolio. Expected 
aggregate impacts after project completion include: 20 individual 
companies implementing CP practices and technologies, realizing annual 
avoidance of 100,000 metric tons of GHG emissions, reduction of 140,000 
megawatt hours of energy consumption, and annual cost savings equivalent 
to $10 million.","","","","","","","","","","","","","","","","","","","","",569968,"","",Sustainable Business Advisory,"",2011-01-06T05:00:00Z,2010-12-01T05:00:00Z
Southern Sudan Investment Climate Reform Program  Phse 2,Advisory Services,"",Completed,Africa,Sudan,"","",2011-02-23T05:00:00Z,"","","","The three-year program supports Government of Southern Sudan in raising 
employment and incomes through increased private investments in target 
sectors, greater formalization of the economy, and enhanced enterprise 
competitiveness. The program helps strengthen at least eight key 
institutions, including appropriate legal frameworks, by enacting eight 
laws to reduce by 20 percent the time and cost to deliver services to 
investors and to effect a 20 percent direct compliance cost savings. 
Objectives include: 1) at least 15 new high-quality investments in non-oil 
sectors, focusing on agribusiness, valued at $90 million, and generating 
at least 300 direct jobs (and 300,000 indirect jobs), at least half of 
them based outside of Juba; 2) increase in new business registrations to 
13,000 from the current 8,000 registered businesses; 3) decentralization 
of the registry to at least three additional states, including 
establishment of a One-Stop Shop; and 4) use of alternative dispute 
resolution in at least 200 businesses disputes.","","","","","","","","","","","","","","","","","","","","",574967,"","",Investment Climate,"",2011-01-12T05:00:00Z,2011-01-01T05:00:00Z
Rwanda Investment Climate Reform Program,Advisory Services,"",Completed,Africa,Rwanda,"","",2011-02-23T05:00:00Z,"","","","The Phase 2 project continues to assist the government of Rwanda with 
investment climate reforms, building on the successes of Phase 1. Specific 
actions and objectives (by June 30, 2013, or within one year following 
program completion) include: 1) helping remove critical constraints to 
increased investment and export in the agribusiness sector, in particular 
the horticulture and tea sectors, resulting in increased investment of $15 
million; 2) contributing to increased investments in Rwanda's first 
Special Economic Zone by $25 million, including additional investments in 
the SEZ infrastructure and new SEZ users, leading to at least 4,000 direct 
jobs; 3) supporting enhanced public-private dialogue and continued 
investment climate reform (business taxation, trade logistics, doing 
business, and business licensing), leading to savings in private sector 
compliance costs of over $10 million; and 4) securing a minimum of $20 
million in financing for businesses in Rwanda, based on moveable property 
registered through the new collateral e-registry.","","","","","","","","","","","","","","","","","","","","",576907,"","",Investment Climate,"",2011-01-12T05:00:00Z,2010-12-15T05:00:00Z
Innovative Retail Payments Facility,Advisory Services,"",Completed,World,World Region,"","",2011-02-23T05:00:00Z,"","","","The project helps increase access to banking services through developing 
innovative and sustainable retail payments services as a point of entry 
for low-income populations. It supports the development of innovative and 
sustainable retail payment solutions using technologies such as mobile 
phones, EFTPOS (electronic funds transfer/point of sale), and payment card 
infrastructure to deliver payment services at low cost to the base of the 
pyramid and other users. Objectives are to: 1) identify businesses 
offering innovative payment solutions (two in Latin America, four South 
Asia); 2) scale up successful work using the Mobile Money Toolkit, 
developed with support from NIPP (Netherlands-IFC Partnership Program) 
with at least two clients in East Asia and Pacific; 3) support development 
of payment card infrastructure with at least one client; 4) expand the 
Toolkit to apply to retail payment services beyond mobile phone banking 
(such as cards and POS devices) through working with at least one client 
globally; and 5) conduct eight knowledge management events. It is 
anticipated that the global team will enable the regions to reach 3 
million people.","","","","","","","","","","","","","","","","","","","","",578647,"","",Access To Finance,"",2010-12-03T05:00:00Z,2010-10-01T04:00:00Z
UAP/Syngenta Agricultural Index Insurance,Advisory Services,"",Completed,Africa,Kenya,"","",2011-02-23T05:00:00Z,"","","","The project provides assistance to UAP Insurance Kenya and Syngenta AG, a 
global Swiss agribusiness company. UAP and Syngenta have formed a 
consortium to oversee an agricultural index insurance initiative, and the 
project assists them in developing index insurance as a commercially 
viable product. The objectives are: 1) to develop solutions that enable 
the scaling up of index insurance, such as a lean and dense distribution 
network, an efficient administration platform based on mobile 
technologies, indexes that can be developed without extensive historic 
weather data, and arrangements that make insurance affordable to 
smallholder farmers; and 2) to build capacity within UAP to empower the 
company to run index insurance on a commercial basis after project 
completion. Expected outcomes include implementing one new insurance 
product, insuring at least 30,000 farmers, and establishing an SME 
Management Solutions-based mobile platform.","","","","","","","","","","","","","","","","","","","","",578667,"","",Access To Finance,"",2010-09-20T04:00:00Z,2010-07-15T04:00:00Z
Planet Guarantee Regional Index-Based Crop Insurance,Advisory Services,"",Completed,Africa,Western Africa Region,"","",2011-02-23T05:00:00Z,"","","","The project works with PlaNet Guarantee, a subsidiary of the PlaNet 
Finance Group dedicated to the promotion and development of microinsurance 
systems, to address key components of the value chain for crop insurance 
in Western Africa countries. Beginning with the two countries where PlaNet 
Guarantee is currently conducting pilot programs (Mali and Burkina Faso), 
the project will incorporate two new countries per year. Specific actions 
include conducting feasibility studies, creating weather and yield 
indexes, disseminating information on crop insurance across the region, 
and establishing an index insurance hub that will provide underwriting and 
claims management services and develop a reinsurance pool. The objective 
is for 500,000 farmers in Western Africa to have index insurance by 2016.","","","","","","","","","","","","","","","","","","","","",579007,"","",Access To Finance,"",2010-10-29T04:00:00Z,2011-01-01T05:00:00Z
BH Primary Care,Advisory Services,"",Active,Latin America and the Caribbean,Brazil,"","",2011-02-23T05:00:00Z,"","","","The project provides advisory assistance to the government of Belo 
Horizonte (BH) Municipality to improve its primary health care network 
through the use of public-private partnerships (PPPs). Deliverables 
include a series of diagnostics and the successful closing of the bidding 
by October 2011. The objective is to implement PPPs in 147 primary care 
clinics in BH. Expected impacts include mobilization of private 
investments ($143 million) and services that will reach 390,000 families 
(1.7 million people, by government estimates). The project anticipates 
that it will attract private players that can handle the whole municipal 
primary care network under high quality standards and generate 
efficiencies for the municipality.","","","","","","","","","","","","","","","","","","","","",579487,"","",Public-Private Partnerships Transaction Advisory,"",2010-08-10T04:00:00Z,2010-08-01T04:00:00Z
GTF Swiss Re PFI Support,Advisory Services,"",Completed,World,World Region,"","",2011-02-23T05:00:00Z,"","","","The project is a technical partnership with Swiss Re, a global reinsurer. 
Phase I establishes a work plan and strategy for the partnership, 
encompassing existing and new projects as well as knowledge management and 
aggregation. Phase II (through 2013) implements the work plan, including a 
technical review of existing projects, building up of the new-project 
pipeline, and development of projects led by Swiss Re. Objectives are to: 
1) establish a competitive marketplace for reinsurance, enabling access to 
regional and global secondary markets (reinsurers) for risk mitigation; 2) 
provide technical support for project development, including technical 
analysis of current and future projects submitted for grant funding to the 
GIIF (Global Index Insurance Facility) Trust Fund (GTF); and 3) provide 
technical services to IFC in broader scoping and awareness-raising work, 
along with IFC regional staff and experts. Longer-term outcomes include 
entry into the international market of up to three new leading reinsurers 
by 2013, development and implementation of up to eight products (two 
products over two countries per year, over the next two years), and 
increased profile and capacity of GIIF","","","","","","","","","","","","","","","","","","","","",579827,"","",Access To Finance,"",2010-12-03T05:00:00Z,2011-02-01T05:00:00Z
Strengthening local governance to improve the impact of royalties,Advisory Services,"",Active,Latin America and the Caribbean,Peru,"","",2011-05-19T04:00:00Z,"","","","The project addresses the need for effective public investment of 
royalties paid to local governments in Peru by companies in the extractive 
industry. It provides information, capacity-building activities, and 
incentives to enable civil society groups and the media to demand good 
governance from their authorities. The objective is to improve the impact 
of royalties by strengthening local governance in 21 municipalities, as 
measured by a 1-point increase (20 percent, on a 15-point scale) in the 
Good Governance index by June 2014. The project also expects to contribute 
to creation of a friendlier environment for extractive industries by 
increasing receptivity to them among 20 percent the population and civil 
society groups.","","","","","","","","","","","","","","","","","","","","",581028,"","",Sustainable Business Advisory,"",2011-03-08T05:00:00Z,2011-02-15T05:00:00Z
Municipal Royalty Investment Peru,Advisory Services,"",Active,Latin America and the Caribbean,Peru,"","",2011-05-19T04:00:00Z,"","","","The project works directly with municipalities receiving 
extractive-industry royalties in Peru, providing relevant information, 
training, and tools; promoting the adoption of good practices; providing 
on-demand Web-based services to local officers; and involving the private 
sector in subnational government capacity building. The objective is to 
improve the investment capacity in at least 21 of the 30 selected 
municipalities, as measured by a 20 percent increase in the assessment 
rating of their investment management practices, by June 2014. In 
addition, 10 municipalities are expected to be reached indirectly through 
third parties that have adopted the tools and methodologies made available 
by the project, and 1,000 local officers are expected to have improved 
their ability to make more informed decisions with the support of a 
Web-based platform. Anticipated impact includes benefiting 250,000 
inhabitants through access to new or improved public infrastructure for 
basic services or for income-generating activities in the 30 
municipalities.","","","","","","","","","","","","","","","","","","","","",583008,"","",Sustainable Business Advisory,"",2011-03-08T05:00:00Z,2011-02-14T05:00:00Z
Trade Logistics South East Europe,Advisory Services,"",Completed,Europe and Central Asia,Serbia,"","",2011-12-30T05:00:00Z,"","","","The project assists the countries in the Western Balkans in liberalizing 
trade and further aligning with rules on EU practices linked to the 
Central European Free Trade Agreement regional trade agenda. The overall 
goal is to stimulate economic development of these countries by further 
reducing trade logistics constraints and harmonizing border clearance 
through regional cooperation. Specific objectives (by project completion) 
include: 1) reducing by 20 percent the number of documents related to 
trade; 2) reducing by 20 percent the number of days to import or export; 
3) implementing reforms to improve procedures related to the flow of cargo 
and trade, including agency coordination in air, road, and river 
transportation routes; and 4) achieving at least $10 million in aggregate 
private sector savings (within one year of project completion) across all 
seven targeted countries.","","","","","","","","","","","","","","","","","","","","",572687,"","",Investment Climate,"",2011-08-03T04:00:00Z,2011-09-01T04:00:00Z
Agri Finance Advisory,Advisory Services,"",Active,World,World Region,"","",2011-12-30T05:00:00Z,"","","","The three-year program works in close cooperation with IFC's existing 
pipeline of strategic agribusiness initiatives, creating synergies, with 
particular emphasis on support for the food security effort. It increases 
access to finance for the agriculture supply chainfrom the small farmer 
to commercial farms to micro and small and medium enterprises (SMEs) 
operating in the agribusiness sector. Its main clients are financial 
institutions (FIs) and nonbank FIs that support the whole agricultural 
supply chain. Key beneficiaries include local SMEs in the agricultural 
supply chain (suppliers, producers, traders, processors, storage 
facilities, and so on). Main activities are: 1) building capacity of 
client FIs to lend to the agriculture sector; 2) linking FIs to 
sustainable supply chains; and 3) linking insurance to agrifinance. The 
objective is to foster a measurable increase in the availability of 
agriculture finance in IFC clients' portfolios globally.","","","","","","","","","","","","","","","","","","","","",577067,"","",Access To Finance,"",2011-06-27T04:00:00Z,2011-03-01T05:00:00Z
Liberia Investment Climate AS Phase 3,Advisory Services,"",Active,Africa,Liberia,"","",2011-12-30T05:00:00Z,"","","","The project builds on the work of the first two phases to continue with 
the reform agenda for Liberia. The overall goal is to improve the business 
environment through strategic reforms. Specific objectives include: 1) 
reducing the time required for business registration by 40 percent (by 
June 2013); 2) attracting additional private sector investment in target 
sectors by increasing the investment pipeline by 100 percent (within three 
years of project completion); completing the regulatory and institutional 
framework for development of a Special Economic Zone (within one year of 
project completion); introducing at least five reforms and implementing at 
least three Doing Business reforms (during the project); and 5) improving 
the business environment for tax administration by easing tax compliance 
time by 15 percent (within three years of project completion).","","","","","","","","","","","","","","","","","","","","",577647,"","",Investment Climate,"",2011-07-12T04:00:00Z,2011-06-27T04:00:00Z
GLOBAL MF AS 2,Advisory Services,"",Completed,World,World Region,"","",2011-12-30T05:00:00Z,"","","","The program continues and refines the Phase 1 project (#549246), updates 
the objectives and strategic focus, and aligns with the access-to-finance 
strategy that focuses on innovation, knowledge management, and technical 
support to regions. The objective is to contribute to the scaling up of 
commercial microfinance, thereby expanding access to inclusive financial 
services through concentration in two main areas. The first, portfolio 
management, manages global network partners and their subsidiary projects 
in the regions, with the expected outcome of increasing access to 
financial services for the unbanked. The second area, knowledge 
management, manages at least 10 knowledge events and two studies, leading 
to development of at least two new products, with the expected outcome of 
positioning IFC as a leader in at least two new product areas, and 
developing three follow up projects.","","","","","","","","","","","","","","","","","","","","",579627,"","",Access To Finance,"",2011-06-23T04:00:00Z,2010-07-01T04:00:00Z
