Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
Improving credit reporting system in Tunisia - MSME 2.0,Advisory Services,"",Active,Africa,Tunisia,"","",2021-12-13T05:00:00Z,"","","","IFC will support the Central Bank of Tunisia (BCT) to revamp the Public Credit Registry (Centrale des Risques), towards becoming a tool for the institutional functions of the BCT, while giving the space for the private credit bureau (PCB) to be positioned to supply the lenders with more sophisticated and more effective risk management services and tools. In parallel, IFC will also advocate for the right enabling environment for Private Credit Bureau (PCB).  

IFC will also develop a psychometric scoring tool for the financial market, and to pilot it by exploring the inclusion of new forms of data (ex. Big Data, Fintech data, psychometrics, etc.) into the credit reporting system along with other more mature credit reporting markets at the regional level.
","","","","","","The expected development impact of the project is to increase access to finance for MSMEs, and consequently enhance financial inclusion, through enhancing the credit reporting system of Tunisa.  
","","","","","","","","","","","","","","",605056,"","",Financial Institutions Group,"",2020-06-30T04:00:00Z,2020-07-01T04:00:00Z
TechEmerge Sustainable Cooling Cities LAC,Advisory Services,"",Active,Latin America and the Caribbean,Mexico,"","",2021-12-09T05:00:00Z,"","","","The goal of the TechEmerge Sustainable Cooling Cities LAC Project (the Project) is to accelerate uptake of innovative cooling solutions in LAC region by leveraging Cities as a platform for multistakholders and multisector engagement to enable scale and impact. The project will focus on working in Colombia and Mexico with private and public stakeholders that operate in cities. The Program will pair local companies with tech companies from around the world to test new cooling solutions in a variety of sectors that can increase efficiency, reduce GHG emissions, improve accessibility, and/or decrease costs of cooling services","","","","","","The goal of the TechEmerge Sustainable Cooling Cities LAC Project (the Project) is to accelerate uptake of innovative cooling solutions in Colombia and Mexico. The Program will pair local companies with tech companies from around the world to test new cooling solutions in a variety of sectors that can increase efficiency, reduce GHG emissions, improve accessibility, and/or decrease costs of cooling services.","","","","","","","","","","","","","","",604508,"","",Other,"",2020-06-30T04:00:00Z,2020-07-01T04:00:00Z
PNG Small Grids IPP,Advisory Services,"",Active,East Asia and the Pacific,Papua New Guinea,"","",2021-12-09T05:00:00Z,"","","","PNG Power Limitiedd has requested  the International Finance Corporation to provide transaction advisory services for structuring a project to select a private developer to design, build, finance and maintain power assets in PPL's remote centers, with the introduction of renweabl engergy generation component.","","","","","",The project is expected to provide improved electriticty services to reomote centers selected by PNG Power Limited through private sector participation.,"","","","","","","","","","","","","","",606654,"","",Transaction Advisory,"",2021-11-29T05:00:00Z,2021-12-01T05:00:00Z
TechEmerge Hospitality Pilot,Advisory Services,"",Active,South Asia,India,"","",2021-12-07T05:00:00Z,"","","","The TechEmerge project will support IFC's strategy by introducing the best available technologies to IFC clients and prospective clients in the sustainable cooling sector across emerging markets, especially in India through implementing the following 4 main components:

1. Mapping demand and cooling innovation needs across for a representative hospitality brand;
2. Screening and evaluation of relevant new and sustainable cooling offered by innovative technology providers;
3. Curating credible innovations; creating linkages between innovators and adopters; and
4. Supporting structuring and financing field test projects (pilots) uniquely tailored to local needs.

The TechEmerge project will leverage and combine IFC's strong track record in venture capital investing in young companies with its existing network and know-how of 2,000+ investment clients globally who are users of technology. Local corporations in emerging markets often lack collaborations with international and local innovators resulting in sub optimal solutions being scaled up. Hence, the Project also seeks to enhance integration across markets by creating mechanisms that enable the flow of best-in-class cooling technology solutions from around the world to India, by reducing mitigating adoption risks.","","","","","","The goal of the TechEmerge project is to accelerate the dissemination and commercial adoption of new innovative sustainable cooling solutions/technologies with high development impact potential in emerging markets by leveraging IFC's global reach.

More specifically, the project aims to:
1. Improve the receptiveness and willingness of corporates in emerging markets, especially India, to adopt innovative and sustainable cooling technologies.
2. Increase the motivation of young technology companies from around the world to adapt and deploy their solutions in India.
3. Refine IFC's value proposition (investment and advisory knowledge, capability and solutions) for capturing and supporting technology for development impact.","","","","","","","","","","","","","","",605712,"","",Other,"",2020-11-03T05:00:00Z,2021-01-01T05:00:00Z
Kyrgyz Airport PPP,Advisory Services,"",Hold,Global,Kyrgyz Republic,"","",2021-12-03T05:00:00Z,"","","",The Government of the Kyrgyz Republic is considering a Public-Private Partnership ('PPP') to identify a qualified private sector partner to operate and invest in Manas Airport. The Government may consider in-cluding other airports in the transaction. The Government has selected IFC's PPP Transaction Advisory team to help the Government to prepare a viable PPP transaction and conduct an open and transparent competitive selection of the private-sector partner.,"","","","","","The objective of this project is to assist the Government of the Kyrgyz Republic to introduce, through a competitive international tender, private-sector participation in the airport sector to benefit from the private sector's operational expertise to (i) improve the quality of airport services and (ii) access private financing for upgrading airport infrastructure and private efficiencies to operate and maintain this infrastructure through a long-term concession (the 'Project'). 
The successful implementation of the Project is expected to result in the mobilization of private sector investment and the long-term improvements in airport infrastructure and services in the Kyrgyz Republic.
","","","","","","","","","","","","","","",603201,"","",Transaction Advisory,"",2020-08-02T04:00:00Z,2020-07-01T04:00:00Z
Tasiast Advisory and TA,Advisory Services,"",Active,Africa,Mauritania,"","",2021-12-02T05:00:00Z,"","","","This project will focus on strategic engagement at national, sector and company levels to establish the building blocks and alignment between government expectations and the performance of Tasiast and other foreign operators in Mauritania on local content. The project will have the following activities:

1. Comparative Analysis and Baseline on Local Content Performance: The project will undertake an assessment of Tasiast's existing policies and practices on local content to identify any gaps that might exist within its local supply system and provide recommendations on critical actions required to meet the Government's expectations and requirements on local content. Secondly, the project will facilitate data collection on the mining sector's on-going efforts related to local content. 

2. Gap Analysis and Industrial Baseline Survey: The project will carry out a gap analysis to review the demand and supply challenges alongside the key institutional, technical, and regulatory constraints local businesses face in meeting the mining sector contracting requirements. The baseline survey/gap analysis will take into consideration gender and whether women-owned businesses face different obstacles to competitiveness.
 
3. Assessment of Gaps on Disclosures according to the Mining Local Procurement Reporting Mechanisms (LPRM): The project will carry out an assessment of Tasiast to identify gaps in adopting the LPRM disclosures. A workshop will be organized to present the findings and share experiences of other mining companies that have adopted the LPRM. A communication plan/strategy will be recommended for Tasiast to take a demonstration role and advocate for the adoption of the disclosures in the LPRM across the extractives sector to improve transparency on companies' local procurement performance. 

4. Support on Domestic Standards/Certifications: A diagnostic/benchmarking of domestic (Mauritanian) standards compared to international standards will be carried out. This will help Tasiast to develop a better understanding of the gaps between the required standards and the current capability of local businesses in Mauritania. It will also provide recommendations to bring domestic standards and certifications into alignment with international standards required by the international extractive sector companies in Mauritania.
","","","","","",The objective of the Tasiast Advisory Project is to undertake diagnostic work which will allow Tasiast to deepen its understanding of the current state of opportunities and challenges related to increasing local business participation in Tasiast's supply chain as well as create a data foundation for the development of a national local content framework.,"","","","","","","","","","","","","","",606333,"","",Infrastructure,"",2021-11-16T05:00:00Z,2021-11-01T04:00:00Z
ENDA Tamweel Capacity Building & DFS,Advisory Services,"",Active,Africa,Tunisia,"","",2021-11-30T05:00:00Z,"","","","IFC will provide support to Enda Tamweel, the leading microfinance institution in Tunisia, to cope with the current Covid-19 crisis and to improve its risk management, to continue its digitization process, and to improve a current product and/or develop a new one, in order for the institution to continue to serve Tunisia's MSMEs and increase financial inclusion in the country.","","","","","","The overall goal of this Project is to help the Tunisian microfinance champion Enda Tamweel to respond to the economic impact of the COVID-19 crisis and to develop its strategy for the coming 5 years, support its digital transformation journey, update key operations, and improve and/or introduce products to attract new clients, thus contributing to increase financial inclusion in the country.","","","","","","","","","","","","","","",604518,"","",Financial Institutions Group,"",2020-06-30T04:00:00Z,2021-03-01T05:00:00Z
Morocco SCF National Strategy,Advisory Services,"",Active,Africa,Morocco,"","",2021-11-30T05:00:00Z,"","","","IFC and Central Bank of Morocco will partner to design a national Supply Chain Finance (SCF) strategy.  The project aims to support Bank Al Maghrib and main stakeholders in the country to conduct a regulatory and legal gap assessment with recommendations based on international best practices in relation with SCF, and design the national strategy for these innovative programs notably on the basis of this assessment and analysis of the market with key stakeholders.","","","","","","The objective of this project is to support Central Bank of Morocco and main stakeholders in the country to design a national Supply Chain Finance (SCF) strategy. Once implemented, this strategy is expected to improve the enabling environment (policies and regulations), infrastructure and mechanisms for SCF, as well as remove some systemic barriers which hinder MSME growth and prosperity.","","","","","","","","","","","","","","",605438,"","",Financial Institutions Group,"",2021-06-16T04:00:00Z,2021-09-01T04:00:00Z
Attawfik Micro-finance,Advisory Services,"",Active,Africa,Morocco,"","",2021-11-25T05:00:00Z,"","","","IFC will provide support to Fondation Banque Populaire (FBP), also known as Fondation Attawfiq Micro-Finance to: (i) conduct a strategy review and business planning exercise; (ii) review its client customer value proposition (CVP),(iii) develop its digital transformation strategy, and (iv) develop its Human Resource (HR) strategy.","","","","","","The overall goal of the proposed project is to assist Fondation Banque Populaire (FBP), the leading MFI in Morocco in terms of outstanding portfolio value, to: (i) conduct a strategy review and business planning exercise; (ii) review its client customer value proposition (CVP),(iii) develop its digital transformation strategy, and (iv) develop its Human Resource (HR) strategy, thus contributing to increase financial inclusion in Morocco.","","","","","","","","","","","","","","",605460,"","",Financial Institutions Group,"","",2023-06-30T04:00:00Z
Egypt Resource Efficiency and Low Carbon Project,Advisory Services,"",Active,Africa,"Egypt, Arab Republic of","","",2021-11-24T05:00:00Z,"","","","The project will advise private sector manufacturing companies in Egypt on the adoption of resource efficiency (REF) solutions or circular economy practices. This tailored advice includes the adoption of solutions to reduce energy and water use leading to better efficiency and productivity of resources; improved wastewater treatment; and/or recycling. 

Through the application of REF principles, renewable energy and circular economy interventions by lead firms/sector leaders, a 'good practice' base is intended to be created to allow for demonstration effect and potential replication by other, companies not benefiting from the firm-level work. In this regard, the project intends to implement market-wide awareness raising and knowledge dissemination activities to share knowledge on tools, best practices and lessons learned under this project and/or other REF projects globally when applicable.","","","","","","The Egypt Resource Efficiency and Low Carbon project aims to catalyze the adoption of resource efficiency solutions and/or circular economy alternatives among private firms in the manufacturing sector to achieve sizable reductions in energy and water use, leading to reduced greenhouse emissions and cost savings for the private sector. This will be achieved by supporting private sector manufacturing clients to adopt improvements in resource efficiency, renewables and/or the collection/channeling of e-waste/plastics.

Activities at a market-level will be organized which would allow for increased uptake of REF measures through awareness raising and knowledge dissemination events, creating space for dialogue, potential replication and follow-on transactions, beyond the firms supported directly.","","","","","","","","","","","","","","",605151,"","","Manufacturing, Agribusiness & Services","",2020-12-23T05:00:00Z,2020-11-30T05:00:00Z
MAS Pharma North Africa,Advisory Services,"",Active,Africa,"Egypt, Arab Republic of","","",2021-11-24T05:00:00Z,"","","","This project aims to pilot an innovative modular approach encompassing a broader resource efficiency agenda covering material-water-energy for generics' manufacturers through firm-level and sector-level support.

Tailored advice will be provided to private sector pharma manufacturers on the adoption of solutions to reduce material, energy and water use leading to better efficiency and productivity of resources; and/or improved wastewater treatment.

The sector-level work is intended to support activities which would allow for increased uptake of best practices and resource efficiency measures/tools that can deliver benefits beyond the firms supported directly. This will be done through the creation of knowledge materials and dissemination through awareness raising events and training/capacity building workshops undertaken jointly with local/regional aggregators.
","","","","","","The Pharma North Africa project aims support generics' manufacturing clients in the pharmaceutical sector in Egypt, Morocco and Tunisia by enhancing their efficiency and productivity which would lead to reduced costs, while responding to climate change by reducing their climate carbon and water footprint.

By project end, the project aims to achieve a decrease in energy and water usage, and reduced GHG emissions.","","","","","","","","","","","","","","",605921,"","","Manufacturing, Agribusiness & Services","",2021-07-12T04:00:00Z,2021-08-31T04:00:00Z
 Agri Insurance Support for IPEC,Advisory Services,"",Active,Africa,Zimbabwe,"","",2021-11-23T05:00:00Z,"","","","This Project seeks to support IPEC in providing an enabling environment for agricultural/climate insurance for Zimbabwean farmers by:
1. Improving IPEC's understanding of the current market status by conducting a market assessment to assess key climatic risks that farmers are exposed to, their demand for insurance, the capacity and appetite for climate insurance within the insurance industry, and the current enabling environment.
2. Strengthening IPEC's capacity to supervise the agri/climate insurance market through knowledge exchange facilitation, and provision of guidance in the development of a suitable regulatory framework.","","","","","","This project seeks to strengthen the resilience of Zimbabwean farmers to climatic shocks by working with IPEC to improve the enabling environment for agricultural/climate insurance. This will be achieved by:
1. Generating information that could incentivize (re)insurers to invest in the development of suitable insurance products for farmers (and especially smallholder farmers).
2. Strengthening IPEC's understanding of the agri-insurance market, and its supervisory capacity through the provision of guidance in the development of a suitable regulatory framework.","","","","","","","","","","","","","","",606686,"","",Financial Institutions Group,"","",2023-03-31T04:00:00Z
Womens Employment in Morocco,Advisory Services,"",Active,Africa,Morocco,"","",2021-11-23T05:00:00Z,"","","","COMPONENT 1: PEER-LEARNING PLATFORM WITH CGEM 

ACTIVITIES: Deliver  four  thematic online training workshops to approximately 50 companies (that include member companies of CGEM and IFC investment clients) so that they can be more resilient, ensure business continuity  in responding to the COVID-19 crisis  . That will include amongst other topics recruiting, retaining  and/or promoting and supporting  more women in their labor force.  Additionally, the team  will explore as the project progresses CGEM's interest to institute annual Employer of Choice for Gender Balance Award recognizing its member companies' efforts to close gender gap in their respective workforce. 

Specifically:
-INITIAL ONLINE BASELINE SURVEY: To create a baseline of the share and profile of female employees among firms participating in the peer-learning platform, a baseline survey will be conducted. The survey will also allow to identify reasons behind low recruitment and retention of women among these firms. The survey will be carried out with member companies of CGEM, and in addition to the already identified webinar topics, there will be an added objective on identifying the biggest challenges the companies faced with moving to a remote work modality and what impact that shift had on their employees (especially women).  The results of the survey will be incorporated in the content of the online training / webinars.
-ONLINE TRAINING: Due to restrictions on gatherings, the project  will adopt an entirely virtual model where the project  delivers all trainings online:  Deliver a series of four  webinars  for middle and HR managers of the business associations' member companies as well as IFC clients. Topics could cover family-friendly workplace policies , business case for workforce gender diversity and women's employment, anti-sexual harassment; women in leadership positions, employer supported childcare, COVID-19 workplace issues (i.e. being resilient, ensure business continuity  in responding to the COVID-19 crisis)
-COMPANY PLEDGES/COMMITMENTS: (1) Secure the support of CEOs and C-suite executives and upper and middle management of the associations member companies so that companies commit to at least two robust commitments to close gender gaps in their operations and provide a baseline and targets for those.
- COMPANY GUIDE WITH CASE STUDIES: Produce  and disseminate a company guide (publication) to guide companies on how to  advance gender equity in their company. The company guide would include three case studies on best case practices for women's recruitment and careers and  family friendly policies in the private sector in Morocco.

CLIENT: CGEM (General Confederation of Moroccan Enterprises), with whom IFC signed an MOU in October 2019 

COMPONENT 2: WOMEN'S EMPLOYMENT ADVISORY TO CLIENT FIRMS (IFC Investees)

Provide firm-level women's employment advisory to two firms by either deploying IFC's inhouse diagnostics tool (i.e. the workforce gender diversity assessment) or the EDGE STRATEGY assessment and certification. This may include a childcare and family needs assessment and action plan.

(2) ACTION PLAN IMPLEMENTATION AS: 

Two companies will implement a post-assessment action plan and recommendations generated under (1) with the help of IFC AS. Specific activities and expected results will be confirmed by each paying client. 


CLIENTS: Client 1: OCP Group (Cherifien Office of Phosphates) is a leading exporter of phosphate rock, phosphoric acid and phosphate fertilizers with whom IFC signed an MOU in January 2020 and MAS pipeline client . As of date , IFC has taken the proposed investment OCP Africa CF to CRM [43582] ; Client 2: still to be identified.","","","","","","The expected impact is the  increased share of women in pay-roll employment and/ or  improved quality of women's pay-roll jobs in the private sector in Morocco. This is expected to be the result of knowledge activities (i.e. case studies, events) and recommendations that will have been delivered to member firms of the CGEM and commitments by these firms with regards to creating a more women/family-friendly workplace and commitments  that will have been made and fulfilled be these firms The impact is further the result of increased  capacity to create a more flexible, family-friendly  and resilient  workplace and thereby improved workplace environment for women in two  client companies .","","","","","","","","","","","","","","",604312,"","","Environment, Social and Governance","",2020-07-22T04:00:00Z,2020-07-01T04:00:00Z
Uzbekistan Solar 3,Advisory Services,"",Active,Global,Uzbekistan,"","",2021-11-22T05:00:00Z,"","","","IFC will assist the Government of Uzbekistan in attracting private sector participation on competitive basis for the development, financing and operation of solar PV plants of up to 500MW on two sites to be selected by the Client.","","","","","","The project will result in: 
i) private sector participation and investment in the power generation sector of Uzbekistan; 
ii)  increased power generation from renewable energy; 
iii) diversification of the Uzbekistan energy mix;
iv) reduction of GHG emissions.","","","","","","","","","","","","","","",605287,"","",Transaction Advisory,"",2020-07-22T04:00:00Z,2020-07-08T04:00:00Z
Madinah BTO Rebalancing,Advisory Services,"",Active,Middle East,Saudi Arabia,"","",2021-11-19T05:00:00Z,"","","","The General Authority of Civil Aviation (GACA), the authority responsible for regulating the aviation sector, is looking to restructure the existing concession at the Prince Mohammed Bin Abdulaziz International Airport (PMIA) as a result of the impact of Covid-19. GACA is seeking IFC's support to act as transaction advisor to GACA to identify several options for the rebalancing of the concession contract with an aim to preserve private sector participation in the project. 
","","","","","",The impact of the restructuring of the concession would be the successful renegotiation and rebalancing of the concession agreement for the Prince Mohammed Bin Abdulaziz International Airport (PMIA) in the Kingdom of Saudi Arabia and the preservation of the development impact and a partnership that proved successful prior to the Covid-19 pandemic.,"","","","","","","","","","","","","","",606447,"","",Transaction Advisory,"","",2021-10-20T04:00:00Z
Digital Finance Lab Middle East & Africa,Advisory Services,"",Active,Africa,Africa Region,"","",2021-11-18T05:00:00Z,"","","",The Digital Innovation Lab (DigiLab) is an initiative to support business development and advance financial inclusion through capacity building of financial services providers in Middle East & Africa (MEA).  It is an introductory skills and capacity building program for senior-level executives.,"","","","","","The Digital Innovation Lab (DigiLab) is an initiative to support business development and advance financial inclusion through capacity building of financial services providers in Middle East & Africa (MEA).  It is an introductory skills and capacity building program for senior-level executives. DigiLab MEA is expected to achieve the following:
- To deliver two (2) DigiLab sessions cohorts with 4 to 5 partner institutions each, for a total of 8-10 partners trained
- Development of a digital roadmap for each partner
- Produce and publish new knowledge 
","","","","","","","","","","","","","","",603941,"","",Financial Institutions Group,"","",2021-12-31T05:00:00Z
Liberia Secured Transaction & Collateral Registry Project II,Advisory Services,"",Active,Africa,Liberia,"","",2021-11-18T05:00:00Z,"","","","Through this program, IFC will provide Advisory Services and Technical Assistance (in the capacity of an honest broker) to the  Central Bank of Liberia (the main client), as well as designated industry associations  Liberia Bankers Association and Liberia Chambers of Commerce  towards enhancing the effectiveness of the collateral registry system and promoting asset-based lending especially for agriculture and women owned businesses. It will also support regulatory reforms supportive of lending against movable assets. These would improve the effectiveness of financial inter-mediation, boost lending to micro and small businesses and foster an enabling environment supportive of sustainable investment and market creation opportunities.","","","","","","The goal of this project is to support the Central Bank of Liberia and key industry stakeholders to implement regulatory and institutional reforms that are supportive of lending against movable assets. These would improve the effectiveness of financial inter-mediation, boost lending to micro and small businesses and foster an enabling environment that is supportive of sustainable investment opportunities in Financial Institutions, thereby increasing access to credit for individuals and Micro, Small & Medium Enterprises (MSMEs) in Liberia over the long term.","","","","","","","","","","","","","","",605138,"","",Financial Institutions Group,"",2020-12-18T05:00:00Z,2021-01-01T05:00:00Z
MAGC Africa Green Buildings,Advisory Services,"",Active,Africa,South Africa,"","",2021-11-17T05:00:00Z,"","","","The IFC-UK Market Accelerator for Green Construction Program for Africa will contribute to GHG emission reductions targeted by the governments of South Africa, Ghana, Kenya and Cote D'Ivoire through the promotion of certified green buildings.  Activities will include public policy dialogue, private sector capacity building with developers, designers and financial intermediaries, and support for academic and professional training programs. IFC's EDGE green building certification system and free design application is central to the Program as a design tool, an educational aid, and an affordable certification method which can recognize different levels of ambition, right up to Zero Carbon emissions.","","","","","","The IFC-UK Market Accelerator for Green Construction Program for Africa will contribute to GHG emission reductions targeted by the governments of South Africa, Ghana, Kenya and Cote D'Ivoire through the promotion of certified green buildings.  Activities will include public policy dialogue, private sector capacity building with developers, designers and financial intermediaries, and support for academic programs.","","","","","","","","","","","","","","",605805,"","",Other,"",2021-01-13T05:00:00Z,2020-12-31T05:00:00Z
Access to Finance for SMEs in Algeria,Advisory Services,"",Active,Africa,Algeria,"","",2021-11-17T05:00:00Z,"","","","The main focus of the project is to support the PCR  CREM  to enable it to fulfil the functions of a modern credit reporting system.
The project will provide technical assistance in the following areas:
-	Support the Central Bank (BoA) to provide CREM with a set of additional information sources that will cater for the needs of both internal users (BoA/the regulator) and external users (lenders).
-	Support Bank of Algeria to strengthen and formalize its data governance framework, through the creation of a Data Governance Committee.
-	Strengthen the capacity of the regulator and users on the new Public Credit Registry. For the regulator (Bank of Algeria, through its relevant departments), the focus will be on the potential role that granular credit data can play in strengthening micro and macro-prudential supervision of the financial ecosystem. For financial institutions, capacity building will target credit departments to enable them to integrate PCR-supplied information into their lending decisions.","","","","","","The objective of the project is to support the upgrade and modernization of CREM - Algeria's credit information depository - to enable it to provide a comprehensive set of data and services to the regulator and the financial sector as a whole. CREM's functionalities will be significantly improved through the collection and dissemination of comprehensive granular and good quality data drawn from wide ranging sources, to serve the purpose of the lending industry for client risk assessment purposes, as well as the Central Bank's internal supervision role.","","","","","","","","","","","","","","",604322,"","",Financial Institutions Group,"",2020-06-20T04:00:00Z,2020-06-30T04:00:00Z
Fiji Affordable Housing Development,Advisory Services,"",Active,East Asia and the Pacific,Fiji,"","",2021-11-16T05:00:00Z,"","","","The delivery of the project will be in two phases. This is due to the urgency and sequency of deliverables as per the housing value chain requirements of Fiji. Phase 1 will focus on delivering activities that are complimentary to and derived from the IFC Fiji Affordable Housing PPP project which entails supporting GoF with a demonstration transaction providing PPP solution to affordable housing. The activities in this project either focus on enabling environment to facilitate PPP transactions which are time sensitive as well as those activities that can be implemented at a sector level leveraging learnings from the PPP transaction. Phase 2 will focus more on economywide reforms that will further address both demand and supply side issues in developing the affordable housing market. These reforms also require a longer timeframe to be able to implement such policy and regulatory changes, thus, part of second phase of the project.","","","","","","The Fiji Affordable Housing project aims to create a more vibrant affordable housing market in Fiji. This will be delivered through a mix of real and financial sector solutions, with an overall objective of creating an enabling environment for affordable housing market and facilitating access to affordable housing finance to low and middle income households in Fiji.","","","","","","","","","","","","","","",604988,"","",Other,"",2020-10-23T04:00:00Z,2020-11-01T04:00:00Z
Caribbean Green Financing Frameworks,Advisory Services,"",Active,Latin America and the Caribbean,Dominican Republic,"","",2021-11-11T05:00:00Z,"","","","The project will support the Dominican Republic in engaging the financial sector, regulators and supervisors, key Ministries and other stakeholders, as well as private sector entities in the creation and development of a national green taxonomy to enable green financing. Through working with the local financial sector, a clear standard for green assets will be developed and published in the form of the green taxonomy. The project will facilitate engagement with stakeholders to gain consensus through socialization and capacity building activities and work in greater depth with financial institutions. Part of the groundwork and complementary work with financial institutions will identify activities or investments that can move the Dominican Republic toward meeting climate mitigation targets and support the growth of domestic green financial markets. The project will build foundations for subsequent regulatory frameworks and incentives for the issuance of green financial products and coordinate across the World Bank Group and other actors to ensure progress in these complementary areas. Project implementation will begin in the Dominican Republic and initiate engagement in selected EsC countries as well over a 24-month period.","","","","","",The overall project objective is to support the Dominican Republic in the development of a green taxonomy for the financial sector that will generate green investments through financial institutions or capital markets and perform preliminary activities to assess the way forward in the English-speaking Caribbean (EsC).,"","","","","","","","","","","","","","",605795,"","",Other,"",2021-05-04T04:00:00Z,2021-05-01T04:00:00Z
Covid-19 Health Sector Response Support to Madhya Pradesh,Advisory Services,"",Completed,South Asia,India,"","",2021-11-03T04:00:00Z,"","","","IFC will provide short-term capacity building assistance to the State Government of Madhya Pradesh, India, in contracting the private sector to aide in the State's COVID-19 pandemic response. This support will include assessing public and private health capacity in the state and developing short-term model procurement contracts, technical specifications, and guidelines to enable the State government to leverage private sector capacity as part of its  COVID-19 response strategy. IFC will also provide capacity building support to help the government strengthen the public health supply chain system in the State, building resilience and helping the State achieve the 'Whole of the Health System' approach to address the Covid-19 Pandemic.","","","","","",The project will assist the Government of Madhya Pradesh in its pandemic response efforts and in increasing the resilience of the state's health sector to the COVID-19 pandemic.,"","","","","","","","","","","","","","",605359,"","",Transaction Advisory,"","",2022-06-30T04:00:00Z
Project Name Pending,Advisory Services,"",Status Pending,Region Pending,Country Pending,"","",2021-11-01T04:00:00Z,"","","","","","","","","","IFC anticipates that this proposal will increase access to digital skills training for under-served groups (particularly young women in Ethiopia) through capacity building and training and linkages with global technology companies that offer employment opportunities for the young people in Africa. Funding Gebeya's incubator will also catalyze the emergence of more female digital entrepreneurs who will now have access to funding and resources necessary to develop and scale their businesses through this program.

Currently, many universities in African countries do not offer comprehensive and relevant training in programming and other software development courses. In addition, the job market has become  increasingly competitive; according to the International Labor Organisation (ILO) the youth unemployment rate hovers around 12% in SSA. While this is slightly lower than the global youth unemployment rate of 12.4%, the African region has the world's highest rate of working poor people who are employed but earning less than US$2 a day. Despite being Africa's most educated generation to emerge from schools and universities, a young person from Africa is twice as likely to be unemployed when he/she becomes an adult, according to the ILO.

The exclusion of women from the labor force further perpetuates generational cycles of poverty. Women account for approximately 50% of Africa's population but only contribute 39% of the Continent's GDP due to limited employment opportunities and lack of representation at higher levels in the organization where employment decisions are often made

The Digital Gender-Ethiopia project will increase the number of female software developers with core technical and job readiness skills who can then go on to establish digital result in the training of at least 250 female software developers. Due to Gebeya's track record in successfully placing graduates of its programs, the Digital Gender-Ethiopia program will result in creation of employment and entrepreneurship opportunities for Ethiopia's growing base of software developers.

Market creation enabled by the project:
The project will develop the entrepreneurship/tech ecosystem, particularly with respect to women entrepreneurs through two distinct channels: capacity building and a demonstration effect. 
Women entrepreneurs face critical gaps due to their lack of access to appropriate networks and know-how that could make them more competitive in securing financing for their businesses. The project increases their capacity by giving women access to relevant training and knowledge which will build critical skills that will benefit them beyond the direct project impacts.  
Secondly, Gebeya's incubator will provide seed funding to at least 20 female digital entrepreneurs graduating from its training programs thereby increasing the representation of women in tech startups in Africa. This is expected to have a ripple effect in bringing on board more women into the ecosystem and resulting in more employment opportunities for women in Ethiopia. As more women entrepreneurs / women led enterprises succeed and start to play a critical role in the broader ecosystem, the number of women pursuing entrepreneurship ventures will increase through a demonstration effect. In addition, IFC's support will help change risk perceptions and, if successful, send a signal to the market which could catalyze more private capital into women enterprises, alleviating some of the gender inequities in access to financing.

As a result of the above, the project is expected to not only increase the inclusiveness of the market,  but also increase its overall competitiveness.","","","","","","","","","","","","","","",603451,"","",Other,"",2019-02-26T05:00:00Z,2019-03-01T05:00:00Z
South Africa Credit Reporting & Financial Inclusion Project - Phase 1,Advisory Services,"",Active,Africa,South Africa,"","",2021-10-31T04:00:00Z,"","","","The goal of this project is to support the South Africa National Credit Regulator (NCR) and key stakeholders to strength and expand credit information sharing in South Africa by supporting the on-boarding of small credit providers (category 6-9) to  share information with private credit bureaus and by piloting, testing and promoting the adoption and usage of alternative data scores for MSME creditworthiness assessments and particularly underserved youth, women, and township MSMEs with a view to increasing access to finance for these MSMEs and individuals

Improved availability of credit information will help lenders to make better informed decisions and improve risk management practices for underserved MSME segments, whilst at the same time promoting responsible lending and preventing over indebtedness.  This project will also support the staff of the  NCR to deploy a Public Credit Registry and adopt RegTech/ SupTech that will enable financial institutions to streamline compliance processes through translation of complex regulations into application program interface (API) codes thus promoting efficient regulation and supervision.  The project will conduct a Pilot with the National Credit Regulator of South Africa on implementing a Sup Tech solution
","","","","","","Through this project, IFC will work with the National Credit Regulator and other key stakeholders in South Africa, including private credit bureaus, data analytics companies and MSME business solutions providers to  map, test and promote the usage and adoption of various alternative data sources for creditworthiness assessments of MSMEs and particularly underserved segments such as women, youth and township enterprises. In addition, the project will support the on-boarding of small credit providers to report credit information to private credit bureaus and the establishment of a Public Credit Registry for micro and macro -prudential supervision and monitoring of credit markets.","","","","","","","","","","","","","","",605940,"","",Financial Institutions Group,"",2021-02-24T05:00:00Z,2021-03-01T05:00:00Z
